B: 	ja dat zijn n 
A: 	deze hebben een een soort satelliet op zijn hoofd of ja een een twee plat hoe noemen je dat ruiten 
A: 	vierkant blaad 
A: 	met een staaf erdoorheen 
A: 	en een een soort pinokkio-neus en nog een staaf rechts en beneden in een soort l-vorm 
B: 	deze hebben zo'n vlak met twee oort 
B: 	b 
B: 	deze hebben weer dat vlak zo met die twee verrekijker aan de beide kant 
A: 	ja veertien 
B: 	okee dat zijn e 
B: 	de piratenverrekijker op het vlak 
A: 	ja 
A: 	deze hebben een pinokkioneus maar belangrijk zijn daar hebben jij zo'n goed voor diamantvormig plaat 
A: 	ja 
A: 	ja dat zijn zes 
A: 	de de ruit kristal met het vierkant schroef 
A: 	en pinokkio-neus en twee uitstulping 
A: 	rechts en beneden 
A: 	ja 
A: 	ja hoe zullen we die noemen ? 
A: 	dat zijn vijf 
A: 	waar doen het je aan denken 
A: 	ja ik hebben het ook nog niet nee 
A: 	aan een wc ? ja 
A: 	wc-pot ik vinden hem goed 
