Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	3	dit zijn met	23	9	2	A	15, 20, 23
2	2	3	dan zijn het	14	8	1	B	7, 14
4	4	2	dat zijn	19	10	1	B	16, 19, 22, 25
4	1	2	dit zijn	17	9	1	A	15, 17, 20, 23
2	2	2	aan de	15	13	1	B	3, 15
2	2	2	deze hebben	8	9	1	A	0, 8
6	6	1	en	3	20	1	A	1, 3, 9, 10, 15, 20
6	6	1	ja	6	21	1	A	4, 6, 13, 16, 21, 24
5	1	1	dat	19	10	2	B	16, 17, 19, 22, 25
5	5	1	een	8	24	2	A	0, 1, 8, 9, 23
4	1	1	met	17	9	1	A	15, 17, 20, 23
3	3	1	balk	9	20	1	A	1, 9, 20
3	1	1	dan	7	14	1	A	1, 7, 14
3	1	1	hebben	12	13	1	A	0, 8, 12
3	1	1	het	14	8	2	B	7, 8, 14
3	3	1	oké	5	15	1	A	0, 5, 14
3	3	1	twee	4	8	1	B	3, 4, 10
2	2	1	bovenop	17	3	1	A	15, 17
2	2	1	dinge	4	2	1	B	3, 4
2	2	1	voor	2	2	1	A	1, 2

