A: 	ja deze hebben aan de onderkant één ja een balk wat ook wijzen naar naar rechts 
A: 	daarnaast aan de linkerkant hebben hij helemaal niks 
A: 	aan de rechterkant ja ook soort twee object die ook naar rechts wijzen 
A: 	en bovenaan een soort van ruit met twee oort eraan 
B: 	ja dat zijn een soort van wieltje maar dan een vierkant 
A: 	ja 
B: 	ja dan zijn dat i 
A: 	ja 
B: 	ah shit dat zijn jammer 
B: 	ja deze hebben zeggen maar het idee van een wiel maar dan zijn het geen wiel maar een vierkantje 
B: 	aan de bovenkant van het kop 
B: 	en aan de rechter en onderkant hebben hij een soort van banaan van uitsteekseltjes die naar voren wijzen en frontaal hebben hij ook nog een 
A: 	ja 
A: 	onderaan wijzen hij een beetje richting rechts 
B: 	ja ze buigen allebei naar rechts ja 
A: 	ja 
A: 	dat zijn elf 
A: 	ja dit zijn weer dat uitstekel aan de onderkant wat naar rechts wijzen 
A: 	dan zitten ook aan de rechterkant twee weer twee van die uitsteeksel 
A: 	en bovenaan die ruit of ja andersom 
B: 	ja die ruit met de 
B: 	ja 
A: 	met die oort 
B: 	okee dat zijn g 
B: 	ja dat zijn h sowieso 
B: 	dit zijn ons ja laten we zeggen dat het lijken op dit zijn dat vierkantje aan de bovenkant met een staaf erdoorheen zeggen maar 
B: 	en dan daaronder aan de rechterkant hebben je die banaan die uitsteken naar voren toe 
B: 	die kromming die naar voren toe wijzen 
B: 	ja je zullen eigenlijik willen zeggen dat het lijken op een soort van wiel maar het zijn geen wiel het zijn niet rond het zijn dat vierkantje 
A: 	zo je bedoelen ook met aan de linkerkant zitten er niks en aan de rechterkant zitten die twee raar 
B: 	ja 
B: 	ja hij hebben een pinokkio-neusje inderdaad 
A: 	okee 
A: 	ja dat zijn elf 
B: 	ja 
A: 	dit zijn weer ja dat rui inderdaad met die oort wat lijken op wat zeggen je nou wat nee het lijken op een bom nee met twee van die ding rechts 
A: 	onderaan ook een een figuur dat naar rechts gaan van onder naar rechts 
A: 	weer dat ruit met die oort eraan 
A: 	dat ruit aan de bovenkant 
A: 	heel duidelijk 
B: 	wachten even 
A: 	ja 
B: 	zeggen het opnieuw 
A: 	onderaan zitten een soort steel wat naar van onderuit naar rechts wijzen 
A: 	aan de rechterkant weer twee ja 
B: 	die ja dat dat zijn zeggen maar dat dat cilinder hebben je eigenlijk willen zeggen maar het zijn een vierkantje 
A: 	ja 
B: 	ja ja dat zijn b 
A: 	ja dat 
A: 	een ruit zijn het een beetje 
B: 	ja 
B: 	ja 
B: 	dit zijn de moeilijk 
B: 	waar we het de heel tijd al over of het zijn het nou een cirkel of zijn het een vierkant het zijn een vierkant met een schijf hoe zijn het staaf erdoorheen en een pinokkio-neus en twee kromming aan de rechterkant 
A: 	ja 
A: 	nummer zes 
B: 	die duren altijd het lang 
