A: 	deze hebben vier uitsteeksel één aan de bovenkant een beetje een een glad en dan aan de rechterkant een soort legoblok 
A: 	en dan nog nog één zo'n zelfde glad een beetje in het midden en nog een soor regenpijp wormp naar achter 
B: 	zijn het een soort van zijn aan de zijkant 
B: 	een istek 
B: 	of dat niet 
A: 	zo zullen ik het niet zelf kunnen willen noemen denken ik maar het zijn een soor legblokje die steeds groot worden zeggen maar dus hij beginnen met een klein legoblok en dan worden ze steeds groot 
B: 	en die staan bovenop of waar 
A: 	nee die zitten aan de zijkant sorry die zitten rechts aan aan de rechterzijkant 
B: 	twee daarvan 
A: 	nee dat zijn er één 
B: 	oké wacht dan 
A: 	één zo'n legoblok en aan de bovenkant één zo'n soort glad cactus 
B: 	ja 
B: 	en aan de zijkant dezelfde 
A: 	ja en aan de linkerzijkant dezelfde en aan de rechterzijkant zo'n blok en 
B: 	ongeveer 
B: 	ja inderdaad ja oké ik dat zijn E bij mij 
A: 	ja 
A: 	oké 
A: 	oké 
B: 	weer die een met dat langwerpig ding aan de bovenkant en hetzelfde aan de linkerkant 
A: 	ja 
B: 	en één keer die legoblok 
A: 	even kijken waar zijn die ? ja 
A: 	ja 
B: 	oké 
A: 	en met die regenpijp ook nog zeggen maar aan de 
B: 	ja precies ja ja 
A: 	ja oké nummer elf 
A: 	oké 
A: 	ja dit zijn weer dat een soort half fliebel bovenop 
A: 	met dat legoblok links en dan datzelfde fliebel weer rechts met dat reagpijpje 
B: 	ja met die regenpijp 
B: 	ja dat zijn de J bij mij 
B: 	zo mooi 
A: 	het zijn echt wel lastig uitleggen sommig 
B: 	oké het zijn weer die één keer die legoblok aan de zijkant en dan dat langwerpig dinge hier en hetzelfde aan de en de regenpijp 
A: 	ja met de regenpijp 
B: 	yes 
A: 	ja nummer negen 
A: 	even kijken deze zijn weer met dat een freubel bovenop en dan dezelfde aan die kant en dat legoblokje en dat regenpijp 
B: 	ja 
B: 	dat zijn B bij mij die regenpijp ook 
A: 	ja die zijn wel handig 
B: 	die zijn echt goed 
B: 	awesome 
B: 	weer dat een legoblok aan de zijkant en dan dat steeksel of dat flieber en dat flieber en de regenpijp 
A: 	ja en het regenpijpje 
B: 	dat zijn hem 
A: 	nummer vier 
A: 	die regenpijp doen het hem 
B: 	ja dat doen dat zijn wel een goed 
