A: 	zo'n driehoekje 
A: 	veertien 
B: 	oké dit zijn ja er staan twee ding bovenop 
B: 	één zijn een beetje dat zijn gewoon een rechthoek 
B: 	en de ander zijn een beetje ja een handvat zeggen maar 
B: 	en aan de zijkant één hebben zo'n dik bol 
B: 	en aan de ander kant zijn een soort driehoek 
B: 	ja die staan dan zeggen maar in een kwart van elkaar 
B: 	en er staan ver niks 
B: 	ja 
B: 	ja 
B: 	staan één rechthoek en één soort ja wat zullen het zijn ? handvat cilinderachtig 
B: 	en dan aan de zijkant aan de een zijkant ja dan zijn dat volgens mij link staan zijn een handvat van een driehoek 
B: 	en aan de ander ja en een kwartslag ver zijn zeggen maar een rond ding ja we kunnen het zien als een neus maar ik weten niet 
B: 	ja ja 
B: 	ja ja 
B: 	ja 
A: 	deze hebben een groot ja groot rond aan de voorkant en dan dus dat driehoekje aan de zijkant als een soort gleuf 
A: 	vierkant blok op de bovenkant en dat gek ballonnetje er in 
A: 	ja 
B: 	ja 
B: 	en aan de zijkant ook nog 
B: 	dat zijn N 
A: 	nee 
A: 	ja 
A: 	negen 
B: 	ja wat zijn deze ? dat zijn die neus met die twee ding erbovenop 
B: 	niet dat niet die neuspiercing maar die ander 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	dat bolle aan de voorkant en dan gleufje van een driehoekje aan de zijkant en een vierkan aan de bovenkant 
A: 	vijf 
B: 	ja 
B: 	ja dat zijn G 
A: 	met het bollet aan de voorkant driehoekig gleufje aan de zijkant 
B: 	dit zijn de gewoon neus 
B: 	de gewoon neus 
B: 	met die twee uitsteeksel 
B: 	ja ja 
B: 	dat zijn best wel 
B: 	ja 
B: 	dat zullen echt gemeen 
B: 	ah ja 
B: 	dat zijn J 
