B: 	even kijken dit zijn ja deze vinden ik echt heel vaag ik weten echt niet wat voor een omschrijving ik er aan kunnen geven maar rechts zeggen maar zijn een beetje echt zo'n 
A: 	oké 
A: 	ja 
B: 	ovaal rond en dan erboven zijn een vierkan en daarnaast naast dat vierkantje link zitten een soort van 
A: 	en nog één rechthoekig 
A: 	ja ja dat zijn nummer veertien bij mij 
B: 	bowlingpion vinden ik het alleen dan op de kop en links zijn iets van een driehoekje wat ook nog uitsteken 
B: 	ja 
B: 	hier komen ik echt heel ja hier hier dit doen me nergens echt aan denken maar 
B: 	ja ok ja 
B: 	ja dan zijn het dan denken ik die ja 
B: 	ok bij mij P 
A: 	oké 
A: 	en dan hebben we weer die neus aan de voorkant met inderdaad dat rechthoekje en het kwas bovenop en dat driehoekje aan de zijkant 
B: 	ok top 
B: 	o die waar staan hij o daar dat zijn N bij mij 
B: 	ok 
A: 	oké 
A: 	ja 
A: 	rechthoekigje en 
A: 	ja oké 
A: 	nummer negen 
A: 	deze zijn weer met die neus aan de voorkant en dan het het balk bovenop en het veer en het driehoekje 
A: 	oké 
B: 	dit zijn ja die een met dat met die bowling pilaar op het hoofd 
B: 	ok bij mij G 
B: 	nee 
A: 	ja 
A: 	top 
A: 	ja nummer vijf 
A: 	deze zijn weer met die neus en dan het veertjeachtig dinge 
A: 	en dat staafje 
A: 	precies ja 
B: 	maken niet uit 
B: 	o die even kijken waar hij staan o hier G 
B: 	even kijken 
B: 	ok 
B: 	o dit zijn dat een met de bowling ding op het hoofd 
B: 	ok bij mij O 
B: 	o daar J 
B: 	ja 
