B: 	oké deze zijn best wel klein hij hebben twee soort ding aan de zijkant laag en een balk bovenop 
B: 	en hij hebben nog aan de voorkant iets waar ook nog een pin uit komen of zo 
B: 	ja die zijn heel simpel 
B: 	nee 
A: 	lijken het net of die een stok aan de rechterkant 
A: 	ja 
A: 	en bovenop zeggen maar een één een balkje 
A: 	wat erop liggen 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	ja en alleen maar zo twee van die ding aan de zijkant en één 
B: 	oké dat zijn E 
A: 	dit zijn het figuur met het balkje wat erbovenop liggen en hij hebben eigenlijk een ja een soort van een penne vast lijken het wel 
A: 	ja 
A: 	ja 
B: 	ik hebben die heel compact met zo de balk op de bovenkant en twee van die ding aan de zijkant en één zo'n 
A: 	ja 
A: 	oké dan weten ik welk je bedoelen dat zijn één 
B: 	ja 
B: 	dat zijn E 
A: 	deze hebben het balk bovenop liggen en het staafje het lijken wel of die het staafje ja het klein staafje rechtsvoor zitten 
A: 	ja 
A: 	ja 
B: 	ik hebben die heel compact met die balk aan de bovenkant 
B: 	en zo die twee klein uitsteeksel 
A: 	ja waar link ook nog zo'n ding zitten toch 
A: 	ja dat zijn nummer zestien 
B: 	ja even zoeken 
B: 	ja dat zijn O 
A: 	dit zijn weer dat figuur met dat balkje wat erop liggen met dat penne in de hand 
A: 	aan de rechterkant 
A: 	dat dun pinne 
