A: 	inhaal 
A: 	ok nou ja alles zijn een mok maar er zitten ook een bol op en er zitten door die bol zitten iets wat op een spijker lijken 
B: 	ja ja neuspiercing 
A: 	er er boven het lijken 
A: 	ja dat denken ik ook daar denken ik ook aan ja het lijken of iemand een neuspiercing en zo'n staart er achterop 
B: 	ja inderdaad zo'n dinge 
A: 	ja dat zijn nou dan zijn we al snel er uit 
B: 	ok F 
A: 	taak één 
B: 	de indiaan met neuspiercing 
A: 	o we hebben wel mooi naam bedenken 
B: 	met zijn ding ja 
A: 	vijf 
A: 	ja 
B: 	ok 
A: 	even nadenken het beginnen allemaal 
B: 	ja rooie zijn het 
A: 	nou zijn die met met piercing 
B: 	o ja ok A 
B: 	ok 
B: 	even kijken de indiaan met piercing 
A: 	ja vijf 
A: 	piercing indiaan 
B: 	ik zitten hem even te zoeken 
A: 	onderin bij mij in ieder geval in het midden 
B: 	ja 
B: 	bij mij ook H 
B: 	indiaan met piercing 
A: 	o ik zien hem al vijftien 
