B: 	ja deze hebben eigenlijk een soort plateau op zich heen en het zijn niet onderop het zijn net iets veel richting het midden 
B: 	en er eindigen een soort glijbaan ook op dat plateau of zo twee van die staaf bovenop 
A: 	ja 
A: 	dan 
A: 	ja en dan één er nog aan de zijkant staaf ja ja nummer zes 
B: 	ja 
A: 	ja dat zijn lijk dat zijn een plateau wat net niet onderin maar iets er boven doorheen booren en eigenlijk met zo'n glijbaan toet er ook voor en dan twee omhoog ja 
B: 	ja 
B: 	ja dat zijn dan C 
B: 	dit zijn weer dat plateau waar die die glijbaan of zo lijken het wel een beetje op uitkomen twee van die staal bovenop en dan nog zo'n ding met een hoek hoek erin 
A: 	ja ok 
A: 	ja 
A: 	ok dat zijn dan nummer dertien 
A: 	ja dit zijn eigenlijk met die glijbaan met die plateau 
B: 	ja ik zijn hem even aan het zoeken ja 
A: 	en met dat bovenop ja 
B: 	helemaal goed ja dat zijn dan J 
B: 	nee bijna verkeerd knop 
B: 	ja dit zijn weer dat plateau met die soort glijbaan die twee staaf bovenop en ja 
A: 	ja 
A: 	ja ja dat zijn dan nummer negen 
A: 	ja dit zijn die met die glijbaan 
B: 	ja dat zijn N van 
