A: 	ja hebben het een lepeltje 
B: 	nee hebben twee van die stok daarboven 
A: 	of van die oort 
B: 	hebben zo'n zo'n soort vierkant band hebben die om 
A: 	een vierkant band ja met één armp omhoog en zo'n neus naar 
B: 	ja ja 
B: 	ja 
A: 	ja dan zijn het zes 
A: 	die hebben een rok dat vierkantje 
B: 	ja 
B: 	even zoeken 
B: 	C 
B: 	ja deze hebben dat rok 
A: 	ja dertien 
A: 	het rok weer die 
B: 	J 
B: 	dit zijn die met dat rok 
A: 	ja zijn negen 
A: 	het het het rok weer dat de ballerina 
B: 	N 
