A: 	ja dit zijn het kop en aan de rechterkant hebben die ja een horizontaal rond schijf 
A: 	en aan de linkerkant hebben die ja een soort van achtvormig buis staaf 
B: 	staaf ja 
A: 	en daarop zo'n zo'n driehoek met een plat vierkant aan de ander zijde 
B: 	ja 
B: 	ja dat zijn de enig denken ik met zo'n rond dinge 
A: 	ja 
B: 	rechts 
B: 	dat zijn bij mij L 
B: 	dit zijn die met dat rond horizontaal plateau aan de rechterkant 
B: 	en dan links zo'n staaf met zo'n deuk erin en dan 
A: 	ja 
B: 	een uiteenlopend staaf naar een vierkant 
A: 	ja ja 
A: 	dat zijn zeven 
A: 	dit zijn die ja met die rond schijf aan de rechterkant die plat rond schijf en dan die staaf met die inham en dan dat 
B: 	ja 
A: 	uitlopen driehoek met het plaat 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn die met het rond horizontaal plateau aan de rechterkant van het kop 
B: 	en dan dat staafding link 
B: 	met dinge ervan af 
B: 	ja 
A: 	ja die staaf met die inkeping 
B: 	ja 
A: 	ja dat zijn één 
A: 	ja dit zijn die met die die plat rond schijf 
A: 	met die staaf met de inkeping en dat gek ding daaraan 
B: 	ja 
B: 	dat zijn A 
B: 	ja 
B: 	A 
B: 	zijn die met het horizontaal rond plateau rechts 
B: 	en die staaf met inkeping en het puntig ding eraan 
A: 	ja 
A: 	dat zijn dertien 
