B: 	oké deze hebben een soort van lang neus vinden ik 
B: 	en links hebben die een soort van armp en bovenop hebben die twee spriet 
A: 	ja ik weten welk je bedoelen 
B: 	oké 
A: 	ja 
A: 	nummer zes 
A: 	ja dit zijn die een met die lang neus zo en dat dinge zo eromheen 
A: 	en dan dat armp 
B: 	even kijken 
B: 	ja dat zijn C 
B: 	deze zijn met die lang neus en dat armp links en die twee spriet boven 
A: 	ja 
A: 	nummer dertien 
A: 	dit zijn dat poppe met die langwerpig neus en dat arm zo omhoog met dat dinge eromheen 
B: 	ik zien hem niet 
B: 	ja ja J 
B: 	die lang neus dat armp link die twee spriet bovenop 
A: 	ja 
A: 	nummer negen 
A: 	het poppe met die lang neus en dat arm zo omhoog en die twee spriet bovenop 
B: 	even kijken waar die zijn 
B: 	ja N 
