B: 	oké ik vinden deze een beetje op een robot lijken hij hebben een soort antenne en dan aan de linkerkant hebben die twee twee van die 
B: 	ja een soort tegenstellen toren ertegenaan zitten 
A: 	ja met een vierkant ervoor 
B: 	precies 
A: 	ja dat zijn nummer twee 
A: 	deze hebben aan de linkerkant twee toren op de die ertegenaan staan zeggen maar met een vierkant plateau nog ervoor 
B: 	ja en een soort antenne erbovenop 
A: 	ja 
B: 	ja dat zijn G 
B: 	oké dit zijn weer die twee omgekeeren toren die aan de linkerkant ertegen zitten antennetje bovenop en vierkantje 
A: 	plateau aan de voorkant 
B: 	ja 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn degeen met de twee toren die aan de linkerkant uitsteken met het recht plateau ervoor en het spijkert erbovenop 
B: 	twee 
A: 	maar twee toren links zijn denken ik het makkelijkst om 
B: 	twee ja dat zijn D 
A: 	ja 
B: 	de de Antennetje bovenop en de twee toren aan de linkerkant 
A: 	ja met het plateau ervoor de vierkant 
A: 	ja dat zijn nummer één 
A: 	dit zijn de figuur met de twee toren die aan de linkerkant uitsteken met het spijkertje erop 
A: 	en een vierkantje plateau ervoor 
B: 	ja 
B: 	B 
