B: 	dit zijn je hebben weer zeggen maar dat basisvormpje en dan komen er een stok 
A: 	ja 
B: 	achter vandaan of zo met allemaal soort van bollet 
A: 	ja ja 
B: 	en er zitten een rond voor 
A: 	en aan de voorkant zitten zo'n rond met zo'n 
B: 	met een blaad of weten ik veel 
A: 	ja 
A: 	en hij zitten ook op een vierkant vlak 
B: 	ja hij zitten ja 
A: 	ja oké dan weten ik het 
B: 	oké 
A: 	dat zijn vijf 
A: 	ik hebben die een met die balle aan de achterkant 
B: 	de balle aan achterkant 
A: 	of ja wat zijn het ? het zijn allemaal van die losse stuk 
A: 	die jij die jij ook wel vrij snel in het begin hebben 
A: 	die hebben een soort bomme als neus 
B: 	ja 
A: 	en hij hij zitten op dat vierkant plateau dat zijn misschien het makkelijkst om te zeggen 
A: 	dus dat vierkant plateau zitten er niet doorheen maar die zitten eronder 
B: 	ja 
B: 	die zitten eronder en er zitten zo'n blad voor 
A: 	ja ja 
B: 	met zo'n steel dat naar beneden gaan 
A: 	zo'n 
A: 	ja precies 
B: 	ja oké dat zijn J 
B: 	ik hebben die met die die bal die bollet die zo aan de zijkant eruit komen 
A: 	ja 
A: 	en dat dinge aan de voorkant 
B: 	ja 
A: 	ja dat zijn elf 
A: 	ik hebben diegene met die balle noemen ik het bollet aan de achterkant 
B: 	aan de zijkant 
A: 	ja 
A: 	ook aan zijkant ja 
B: 	ja oké dat zijn P 
B: 	ik hebben de balk door het kop en het rond ding ervoor 
B: 	met het steelt eraan 
A: 	ja die balle allemaal toch 
B: 	ja 
A: 	ja 
A: 	zijn nummer negen 
A: 	ik hebben die met die bollet 
B: 	ja 
A: 	die die staaf 
B: 	oké dat zijn L 
