B: 	dit zijn staan op een draaien pilaar die zijn zo ik weten niet , draaien 
A: 	ik weten hem al dat zijn de enig denken ik die er zijn zo ja 
A: 	twaalf 
B: 	en drie vierkant erbovenuit steken 
B: 	ja dat zijn er maar één denken ik 
A: 	deze zijn met die draaiing waar die op staan 
A: 	ja 
A: 	en dan hebben je dat driehoekje waar dat dan weer op staat 
B: 	drie ding aan de bovenkant zeggen je 
B: 	met een knikje 
B: 	ja ja ja 
B: 	oké 
B: 	H dan 
B: 	ik inzien nou pas dat het een driehoek zijn ja 
A: 	draaien poot met die driehoekje eronder 
A: 	vijf 
A: 	dit zijn met de draaiing en waar die op staat en dat driehoekje waar die dan weer op staat 
A: 	draaien poot met driehoek dus die stoon steun dat zijn nummer zeven 
A: 	met de gedraaide en dan daaronder dat driehoek 
B: 	bak met draaien pilaar , daar staan op , met een driehoek onderop 
B: 	waar zijn hij 
B: 	ja M 
B: 	draaien paal leunlen hij op , op een driehoek onderop 
B: 	draaien pilaar 
B: 	A 
