A: 	nou we hebben weer de hoofdvorm die hebben een soort van ja wat jij noemen een yoghurtbak op zijn kop op zijn hoofd 
A: 	op de bovenkant 
A: 	en aan de rechterkant hebben je twee uitstekend staaf 
A: 	plat staaf 
A: 	en aan de voorkant hebben je ja een soort van neusje 
B: 	ja 
A: 	ook een een staaf die uitsteken en linksonder hebben je nog klein bak die op zijn kop liggen 
B: 	ja dat zijn g 
B: 	je hebben de hoofdvorm en dan aan de zijkant rechts staan twee plat staf die uitsteken 
B: 	daar bovenop zijn een yoghurtbak op zijn kop 
B: 	en aan de Linkeronderkant zijn ook een ja vierkant wat zijn het 
A: 	ook een yoghurtbak maar dan klein 
B: 	ja dat 
A: 	ja 
A: 	nummer veertien 
A: 	dit zijn de hoofdvorm met twee uitsteeksel aan de rechterkant 
A: 	allebei twee vierkant staafjes met een yoghurtbeker op de hoofdvorm en linksonder een klein yoghurtbeker op zijn kop 
B: 	ja 
B: 	dat zijn b 
A: 	ja 
B: 	dit zijn de hoofdvorm dat er twee plat staf rechts uitsteken 
B: 	een yoghurtbak op zijn kop staan op de hoofdvorm 
B: 	link onder vaststaan ook een yoghurtbak op zijn kop en Linksboven zijn een soort van rond staaf dat aan de hoofdvorm zijn vastgeplakken 
A: 	ja nummer vijfteen 
A: 	dit zijn de hoofdvorm met het yoghurtbak erop op zijn kop linksvoor hebben je ook een yoghurtbak en hij hebben twee uitsteeksel aan de rechterkant 
B: 	ja 
B: 	l 
B: 	dit zijn de hoofdvorm met twee plat staf rechts aan de zijkant die uitsteken en yoghurbakje op zijn kop er bovenop 
A: 	ja nummer acht 
