A: 	oké ik hebben nu nu 
A: 	het rood vierkant ik zien er zelf een gezicht in met een neus die een neuspiercing hebben dus eigenlijk een schroef door de neus heen 
A: 	hebben ook nog één ja een pluk achter op het hoofd 
B: 	ja 
B: 	ja ik weten welk het zijn 
B: 	dat zijn deze 
B: 	moeten ik hem zeggen toch ? en dan op geel 
A: 	ja nummer inderdaad 
B: 	dat zijn F 
B: 	dit zijn die met die piercing door zijn neus 
A: 	even zoeken 
B: 	dat komme met die piercing ja 
A: 	ja en dat dinge achter op het hoofd 
B: 	ja 
A: 	nummer vijf 
A: 	dit zijn het poppe met de neuspiercing 
B: 	dit zijn A 
B: 	dit zijn die neuspiercing 
A: 	de neuspiercing 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	dit zijn de neuspiercing 
B: 	kijken dit zijn H 
B: 	dit zijn de neuspiercing 
A: 	dat zijn nummer vijftien 
