A: 	dit zijn een soort man en hij staan een beetje zo 
A: 	en hij hebben zo'n balk in het midden en een een bol op zijn kop 
B: 	ja ja ja 
B: 	ja ja ja dat zijn de de balkenknuffelaar hebben ik hem in mijn hoofd 
B: 	dat zijn bij mij d 
B: 	oké 
B: 	dan hebben we weer de balkenknuffelaar 
B: 	met het bolle achterop 
A: 	ja 
A: 	ja dat zijn nummer vijftien 
A: 	dit zijn de balkenknuffelaar 
B: 	de balkenknuffelaar 
B: 	dat zijn L 
B: 	dit zijn de balkenknuffelaar 
A: 	zijn nummer zes 
A: 	de balkenknuffelaar 
B: 	waar zijn je 
B: 	G 
B: 	de boom balkenknuffelaar 
A: 	dat zijn drie 
