A: 	nu hebben ik een vierkant ik denken dat het een soort van bolletje zijn die hebben ik als neus zien met zo'n stok erdoorheen 
A: 	met zo'n pluk 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	ja bij mij zijn dat F 
A: 	oké 
B: 	het zijn die met die neus met die stok erdoorheen 
A: 	ja de neuspiercing 
B: 	ik noemen hem ook de neuspiercing 
A: 	zijn bij mij links hebben je ook zo'n slinger van vijf zijn het de boven 
B: 	je moeten eerst nog het ding zeggen toch 
A: 	sorry 
A: 	het zijn vijf 
A: 	ik hebben degeen met de piercing de neus met dat ding erdoorheen 
B: 	ja 
B: 	vinden A 
B: 	het zijn die neuspiercing 
A: 	ja 
A: 	vijf 
A: 	dit zijn degeen met de neuspiercing 
B: 	H 
B: 	dit zijn de neuspiercing 
A: 	ja 
A: 	dat zijn vijftien 
