B: 	oké hij hebben een neus 
B: 	een rond 
A: 	ja 
B: 	en dan dat zijn het en dan zo'n vierkan aan de bovenkant 
B: 	aan de linkerkant zitten dan zo'n 
A: 	zijn dat die vulpen zeggen maar die ik zo hebben noemen 
B: 	ja de vulp ja ja ja dat zijn hem 
A: 	ja 
A: 	ik hebben ze allemaal van dat soort gek naam geven 
B: 	nee 
A: 	dan zijn het veertien 
A: 	oké dit zijn degeen die ik altijd noemen met die neus en die vulpen erin 
B: 	ja die ja 
A: 	ja 
A: 	en die staaf 
B: 	ja dat zijn D 
B: 	dit zijn de neus aan de voorkant met bovenop de balpen of zoiets wat jij zeggen ja 
A: 	ja 
A: 	negen 
A: 	dit zijn weer met de neus en de vulp 
B: 	erdoorheen steken toch 
A: 	niet erdoorheen steken nee dit zijn zeggen maar van zo'n zo'n zeggen maar vulpen zitten er dan in zeggen maar 
B: 	ja ja ja ik zien hem al 
B: 	ja ja ja G 
B: 	dit zijn de neus met de vulp erin 
A: 	ja precies 
A: 	even kijken 
A: 	ja dat zijn vijf 
A: 	dit zijn die met de neus en de vulp in het soort van het bak 
B: 	ja dat zijn J 
