A: 	en dan one's oké dus ook een bekervorm 
A: 	er zitten een druppelvormig uitsteeksel aan 
A: 	en dan hebben je aan beide kant hebben je ook uitsteeksel 
A: 	en aan de voorkant zitten dezelfde druppelvormig uitsteeksel 
B: 	je hebben vier uitsteeksel 
A: 	ja vier uitsteeksel 
A: 	en de Rechteruitsteeksel zijn een vierkant 
A: 	die steeds klein worden 
B: 	oké 
B: 	en aan de linkerkant zijn een soort pijp met een bocht 
A: 	ja 
B: 	oké 
B: 	dan zijn het E 
B: 	oké 
B: 	het zijn we hebben deze eerder ook al behandelen 
B: 	bijna allemaal ondertussen maar er zitten vier ding in 
A: 	ja 
B: 	en toen legde ik de achterkant uit als een rioolbuis 
A: 	achterkant uit als een rioolbuis 
B: 	het zijn een vierkant die klein worden en er zitten twee kegel op één aan de bovenkant 
B: 	één aan de zijkant 
A: 	ja 
B: 	en aan de achterkant zo'n soort buis met een bocht 
A: 	die 
A: 	I see even kijken hoor 
A: 	ah 
A: 	oké 
A: 	de buis met de bocht en de twee kegel de één aan de bovenkant één aan de zijkant toch 
B: 	ja en nog een vierkant die klein worden 
A: 	ja 
A: 	dat zijn elf 
B: 	ja zijn redelijk makkelijk dan 
A: 	zitten zo'n slurf aan de linkerkant die zo'n boch maken cilinder die een boch maken 
B: 	ja 
A: 	die twee pionnet er één ik weten niet hoe hoe je die vorm noemen een ovaal erop en één er aan de voorkant zitten er een ovaal die gaan recht vooruit 
A: 	er zitten een vierkant die steeds klein worden aan de rechterkant 
B: 	ja dus hij hebben vier uitsteeksel 
A: 	ja vier uitsteeksel 
B: 	er zitten een soort van die die leiding met een knik aan de achterkant 
A: 	precies ja leiding met een knik 
B: 	oké 
B: 	dat zijn J 
B: 	one weer die vier uitsteeksel 
B: 	en dat een soort van bocht in dat achterste ding zitten 
A: 	in die klein pijp even kijken hoor waar zijn die ? searching sound 
B: 	ja 
A: 	ja ik zien hem 
A: 	dat zijn negen 
A: 	vier uitsteeksel 
A: 	en er zitten een een buisje met een knik erin aan de achterkant 
B: 	ja dat zijn B 
A: 	ja 
B: 	dit zijn die met die vier uitsteeksel en de bocht in de buis aan de achterkant 
A: 	ja oké 
A: 	dat zijn vier 
