A: 	even ja ja ja ja ja ja ja ja 
A: 	toppie twee 
A: 	dit zijn diegene met die Antenne vierkant van voren en die twee vierkant aan de rechterkant 
A: 	die klein worden ja 
B: 	deze hebben soort van paddenstoel aan de bovenkant 
B: 	klein 
B: 	en dan zo'n vierkant aan de voorkant en dan links hebben die twee van die het lijken net oog of zo 
B: 	zeggen maar die klein worden zeggen maar naar het kop toe 
B: 	dat zijn het eigenlijk 
A: 	ja die twee aan de ja oké dat zijn negen 
A: 	oké dit zijn diegene met de Antenne het vierkan van voren en die twee vierkant die telkens klein worden aan de zijkant 
B: 	ja 
B: 	dat zijn G 
A: 	ja ja ja dat zijn één 
B: 	dit zijn die met die paddenstoel 
B: 	die oog 
A: 	dit zijn degeen met de Antenne vierkant van voren en twee vierkant die klein worden aan de 
B: 	oké 
B: 	dat zijn D 
B: 	dit zijn die met die paddenstoel 
B: 	dat zijn B 
