B: 	ja 
B: 	deze hebben twee van die staart met ja ik vinden het op diamant lijken maar 
A: 	die en hij staan op zo'n vierkant vlak 
B: 	ja 
B: 	ja ja 
A: 	en hij hebben een rond met een tui 
B: 	ja ja ja 
A: 	dan zijn dat nummer vijf 
A: 	die diamant drie diamant aan de en dan op het vierkant met het rond 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn weer die met die twee staart van die diaman die op die plaat staan 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	de drie diamant aan beide kant op het vierkant 
B: 	ja 
B: 	dat zijn P 
B: 	dit zijn dat diamant staar 
B: 	op het vierkant 
A: 	op op het bord en de ronje 
B: 	ja 
A: 	dat zijn nummer negen 
A: 	de diamant 
A: 	drie link drie rechts op het plaat 
B: 	ja 
B: 	dat zijn L 
