A: 	ja ik vinden dit een beetje op een hond lijken of zo die opspringen 
A: 	dus zo'n ruit bovenop twee zo'n ruit heel erg naast elkaar met twee van die ding aan de zijkant ik denken dat 
A: 	ja van die blok 
A: 	ja zo'n poo staart en dan voor nog twee zo'n ding 
B: 	ja 
B: 	een voet 
B: 	ja 
B: 	zijn dat wat op zijn hoofd zijn een soort ruitje doorboren met iets 
B: 	oké 
B: 	dan zijn het M 
A: 	ja ja ik weten hem 
A: 	nummer negen 
A: 	dit zijn dat hond 
A: 	het opspringen hond 
B: 	dit zijn die een met die helikopter op zijn op zijn hoofd 
A: 	ja 
A: 	nummer elf 
A: 	het hond 
A: 	nummer veertien 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn met de helikopter 
B: 	ja even kijken dat zijn D 
B: 	dit zijn weer met dat helikopterdinge 
