A: 	oké deze hebben een een zeggen maar een soort van piramide aan de bovenkant staan 
A: 	aan de rechterkant ja steken een best wel groot hoekig voorwerp uit 
A: 	aan de linkerkant ja steken ook iets uit wat zeggen maar groot worden naarmate het ver weg zijn van het ding 
B: 	ja 
A: 	en aan de linkerkant onder zitten ook een soort van cirkelt eronder 
B: 	ja 
B: 	ik zien hem het zijn J 
A: 	oké 
B: 	nee 
B: 	dit zijn weer de een met de piramide met het kop met de piramide erop 
B: 	en dan dat een verrekijkerachtig uitsteeksel uitsteekseltje link 
B: 	en nog een groot blok ervoor 
A: 	ja 
B: 	of iets wat ervoor door moeten gaan 
A: 	ja precies dat zijn zes voor mij 
B: 	oké 
A: 	oké deze hebben de piramide aan de bovenkant 
A: 	rechts hebben die dat groot blok en link inderdaad hoe noemen je dat ? dat kijken 
B: 	ja 
B: 	ja dat verrekijker 
A: 	een verrekijker dat zijn het 
B: 	zijn E 
A: 	yes 
B: 	het zijn dus die een met de cilinder en de verrekijker 
A: 	even kijken waar staan die 
A: 	ja met de piramide zeggen maar 
B: 	ja piramide ja 
A: 	ja oké tien 
A: 	oké dit zijn weer de piramide erop 
B: 	piramide 
A: 	en de uitkijk verrekijker 
B: 	ja G 
A: 	yes 
B: 	het zijn de de piramide en de en de verrekijker 
A: 	ja dat zijn tien 
