Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	dat zijn nummer vijf	9	A	9, 17
2	4	en aan de voorkant	18	A	2, 19
2	4	staaf erdoorheen en daar	8	A	12, 19
3	3	dat zijn nummer	14	A	9, 17, 22
3	3	staaf erdoorheen en	18	A	2, 12, 19
2	3	aan de rechterkant	12	A	2, 13
2	3	en aan de	18	A	2, 19
2	3	ik hebben nu	19	A	1, 19
4	2	aan de	19	A	1, 2, 13, 19
2	2	bol met	18	A	2, 19
2	2	bovenaan en	8	A	12, 19
2	2	die bol	8	A	12, 19
2	2	die staaf	11	A	2, 12
2	2	een beetje	12	A	1, 12
2	2	even zoeken	6	A	15, 20
2	2	klein pluimp	19	A	1, 19
2	2	met een	2	A	1, 2
2	2	op geplakt	7	A	13, 19
2	2	soort van	12	A	1, 12
2	2	weer zo'n	11	A	2, 12
5	1	dat	14	A	9, 12, 17, 19, 22
4	1	de	19	A	1, 2, 13, 19
4	1	een	19	A	1, 2, 12, 19
4	1	ja	14	A	8, 16, 17, 21
4	1	met	19	A	1, 2, 12, 19
3	1	die	18	A	2, 12, 19
3	1	hebben	19	A	1, 12, 19
3	1	pluimp	19	A	1, 12, 19
3	1	schijf	18	A	2, 13, 19
3	1	van	12	A	1, 2, 12
2	1	oké	4	A	0, 3

