B: 	oké even kijken ik noemen hem Pinokkio 
B: 	hij hebben een een neus naar links 
A: 	hebben die twee van die recht USBstickjes naar rechts 
B: 	nee nee nee 
B: 	nee 
B: 	nee 
B: 	hij hebben een een neus naar links en hij staan op een voe en hij hebben één haar en een half cirkel aan de linkerkant 
B: 	aan de achterkant eigenlijk 
B: 	en even kijken en de neus zijn een zeshoek 
A: 	ja ja ja ja 
A: 	ja ik hebben hem ja 
A: 	welk zijn dat bij jou 
B: 	bij mij heten die G 
A: 	G dertien 
A: 	ik noemen deze filmcamera jij noemen deze Pinokkio 
B: 	dit zijn met zeshoek link 
A: 	yes 
B: 	O en bij jou 
A: 	vier 
B: 	O vier 
A: 	weer een nieuw 
B: 	we zijn weer wisselen 
B: 	dit zijn Pinokkio voor mij 
B: 	met zo'n pluimp hoe heten hoe heten die ook alweer bij jou ? hebben een pluimp zo op zijn achterhoofd zeshoekig neus 
A: 	ja ja ja 
B: 	N 
B: 	Nico 
A: 	N achten 
A: 	Pinokkio 
B: 	even kijken 
B: 	moeten ik even de goed pakken ja 
A: 	Pinokkio 
A: 	rond achter in het hoofd één sprie op het hoofd 
B: 	ja even zoeken daar 
A: 	veertien 
B: 	C 
B: 	C veertien 
B: 	voor mij Pinokkio dus zeshoekig neus 
A: 	zeshoek zes zes zes zes zes 
B: 	met die 
A: 	ja ja ja 
B: 	N trouwens 
A: 	Nico 
B: 	ja 
A: 	N zeven 
A: 	jou Pinokkio 
B: 	even kijken 
A: 	zeven 
B: 	zeven hè ? C zeven 
A: 	wauw 
A: 	dat gaan soms echt gewoon verrassen goed en soms echt gewoon hartstikke slecht 
