A: 	ja dit zijn die figuur met dan hebben je die emmer dan zitten er zo'n arm aan 
A: 	en op die arm zitten weer zo'n toeter 
A: 	ja zo'n plateau ja 
B: 	welk kant op een uitstekel 
B: 	o ja en aan de rechterkant een beetje zo'n rond plateau rad ja ok ja dat zijn bij mij L 
B: 	ok ik moeten klikken 
A: 	die met die toeter eruit 
A: 	dat zijn zeven 
B: 	dit zijn dat die een met die spijker en dat rond plateautje 
B: 	ok bij mij M 
A: 	ja dit zijn die met die arm en die toeter erop 
B: 	o ja dat zijn C 
A: 	de arm met de toeter 
A: 	één 
A: 	één zijn het 
B: 	dit zijn de spijker 
B: 	ok bij mij O 
A: 	dit zijn die arm met die toeter erop 
B: 	o hier A 
B: 	o 
A: 	ja 
A: 	die toeter 
A: 	dertien 
B: 	dit zijn de spijker 
B: 	ok 
