B: 	ja 
B: 	zijn dat die dat isteken waar ik het net over hebben denken ik 
B: 	oké ja dat zijn I bij mij 
A: 	deze hebben een soort hoedje op met een uitlaatpijp aan de achterkant en een soort twee twee balk naar de rechterkant 
A: 	het lijken op een soort vorklift 
A: 	zo'n shovelding 
A: 	en dan zo'n uitlaat aan de achterkant 
B: 	precies het zijn oké het zijn die met dat soort van isteken aan de zijkant 
B: 	yes 
B: 	ja 
A: 	ja dat zijn nummer twee 
B: 	ja dat zijn M bij mij 
A: 	dit zijn die een met de uitlaat en het hoedje en de twee balk naar de zijkant 
A: 	naar rechts 
B: 	weer met dat isteken aan de zijkant 
B: 	alright 
B: 	oké even zoeken 
A: 	ja dat zijn nummer negen 
B: 	ja F bij mij 
A: 	met het hoed op en de twee balk 
B: 	weer met dat isteken 
A: 	ja dat zijn zes 
