A: 	deze zijn een komme en er zitten onder ook een soort uitstulpsel het zijn niet echt een plank waar die op staat het zitten zo'n knik in het lopen zo 
B: 	ja 
A: 	en erbovenop zitten een draaien vierkant het zijn een soort ruitvorm maar dan wel een vierkant en er zitten een soort halter aan 
B: 	ja okee 
B: 	dat zijn b ja dat zijn b 
A: 	yes 
A: 	okee 
B: 	deze hebben dat die ruit er aan de bovenkant zitten met die twee vier kubus aan beide kant en een buigen poo eronder 
A: 	ja 
A: 	vier kubus aan de 
A: 	zijn dat degeen met die halter 
B: 	ja inderdaad ja 
A: 	ja nummer tien 
A: 	dit zijn met die halter en die die vierkant dat vierkant dat omdraaid 
B: 	ja 
B: 	eens even kijken dat zijn j 
A: 	okee 
B: 	deze hebben de halter 
A: 	de halter met dat driehoek dat kantelen zijn of dat rechthoek bedoelen bedoelen ik 
B: 	ja 
B: 	met het kromm poo aan de onderkant 
A: 	ja elf 
A: 	ja elf 
A: 	dit zijn met de halter met het omgekeerde vierkantje 
B: 	dat zijn l 
B: 	dit zijn de halter 
A: 	de de halter met dat vierkantje 
B: 	met dat draaien vierkantje 
A: 	oké waar staan die waar staan die waar staan die 
A: 	zes 
