A: 	even kijken dit bekert lijken het alsof het twee stomp hebben aan de alsof het twee armp hebben 
A: 	dus zowel rechts als links hebben het een uitsteeksel met een soort ja stomp doen het me echt aan denken 
A: 	aan de bovenkant hebben het een soort vierkant wat eraan vastzitten 
A: 	aan de linkerzijde 
A: 	en vanuit daar lopen het ook nog een beetje naar beneden 
B: 	ja en die stomp die eindigen gewoon met zo'n soort van bolle 
A: 	met zo'n bolling inderdaad ja 
B: 	ja okee 
B: 	dan zijn het k 
B: 	die een met de stomp aan beide kant 
A: 	ja 
B: 	linkerkant iets klein rechterkant iets groot en dan nog iets daarachter en dan nog naar beneden 
A: 	ja dat zijn nummer vier 
A: 	dat zijn weer die stomp 
A: 	met het dinge linksachter 
B: 	ja 
B: 	ja 
B: 	dat zijn o 
B: 	met twee stomp 
A: 	ja waar zitten die 
A: 	nummer veertien 
A: 	de stomp aan beide zij 
B: 	ja 
B: 	waar staan die 
B: 	ah dat zijn j 
B: 	de twee stomp 
A: 	waar zijn die 
A: 	ja nummer zestien 
