B: 	bijzetting ja 
B: 	ja 
B: 	k 
B: 	deze hebben dat bijzettafel soort van en die uitsteeksel met die dat ding wat omhoog gaan 
B: 	ja 
B: 	even kijken waar die blijven zijn ja g 
B: 	deze hebben het bijzettafelt eraan en dan aan de ander kant dat ding wat eruit komen 
A: 	even kijken deze dat zijn een normaal beker laten maar zeggen met aan de rechterzijde een soort cirkel 
A: 	en aan de linkerzijde iets wat op een kaneelstaaf lijken wat zeggen maar er doorheen lopen 
A: 	en dan in dat kaneelstaaf aflaten maar zeggen zitten een soort groot ja een soort naaldachtig iets 
A: 	hoe zullen ik dat omschrijven 
A: 	soort spijker 
A: 	ja ja precies alsof er zeggen maar in een soort muurtje laten maar zeggen wat water komen en dat je zeggen maar door die twee buisjes dan in een beker zullen kunnen lopen 
A: 	ja een soort cirkelachtig plateaut inderdaad 
A: 	ja 
B: 	l 
A: 	ja waar zijn die ook alweer 
B: 	deze hebben het bijzettafelt 
A: 	zijn ik het nou kwijt 
A: 	ja dus een soort dat naaldje en met het cirkel daar rechts van 
A: 	toch 
A: 	of laten maar zeggen 
A: 	ja naaldje zijn links en dan dat cirkeltje plateauachtig zijn rechts 
A: 	ja dat zijn nummer zestien 
A: 	dit zijn weer zeggen maar met die kaneelstaaf aan de linkerzijde 
A: 	met een cirkel aan de rechterzijde en iets wat 
A: 	ja dat water wat uit de muur komen 
A: 	ja 
A: 	negen nummer negen 
A: 	water uit de muur met een kaneelstaaf en een cirkel rechts van het beker 
A: 	ja 
A: 	nummer veertien 
