A: 	een deksel die op de zijkant eraf hangen even 
B: 	oké ik hebben een rood scherm 
A: 	staan die op een plateau ? zijn het zijn het zijn zijn het de enig die op een plateau staan 
B: 	deze hebben één uitsteeksel 
B: 	aan de bovenkant en een soort cilindervormig balk met een met rond zijkant aan de onderkant 
A: 	staan die op een vierkant plateau 
A: 	oké 
B: 	en een stuk dat uitsteken aan de zijkant 
A: 	en zitten er aan de linkerkant een steel aan 
B: 	ja zeggen maar aan de onderkant zitten een balk 
A: 	en aan de achterkant een soort van half rond wat je zien 
B: 	maar die zijn rond afronden zeggen maar 
A: 	oké dan zijn het nummer dertien 
A: 	en dan moeten ik op een knop drukken 
A: 	ja 
B: 	met zo'n 
B: 	ja die 
B: 	met zo'n er zitten nog een half rond 
B: 	en er zitten een pluimp aan 
B: 	ja 
B: 	ja 
B: 	oké wachten even 
B: 	nu moeten ik even ik ik zijn het even 
B: 	ze staan ook allemaal op een ander plek nu 
B: 	oké 
B: 	er zitten iets aan de onderkant en links steken iets uit 
B: 	wat link uitsteken best wel rond 
B: 	oké sorry wachten even nu weten ik het niet veel 
B: 	oké nog één keer 
B: 	ja ja ja ja hier hebben we de vorig keer ook 
B: 	ja deze hebben zo zo'n soort van balk maar dan met rond zijkant eronder 
B: 	en er zitten zo'n fliebel aan de aan de voorkant erop 
B: 	rond ja ja ja oké dan zijn het O 
B: 	sorry 
A: 	ja deze deze staat lijken wel alsof die giten zijn in het plateautje waar die op staat en rechts bovenin zijn een soort van een druppel die uitsteken 
A: 	en links in het midden hebben die ook een uitsteeksel 
A: 	maar wat misschien nog wat makkelijk zijn hebben die een aan de achterkant zitten er een een rond plateau tegenaan 
A: 	ja deze zijn wel lastig te omschrijven 
A: 	maar het even kijken als ik hem als ik hem 
A: 	ja weten je hem 
A: 	ja 
A: 	het zijn het eigenlijk het enig plaa waar helemaal rechts bovenin het uitsteeksel zitten wat lijken op een druppel 
A: 	ja kloppen 
B: 	ze zijn weer veranderen 
B: 	oké 
B: 	dit zijn diegene waar we het net zo lang over doen die onderaan zo'n balk hebben en zo'n fliep aan de voorkant en zo achteraan een schijf 
B: 	en één rond dat uitsteken 
A: 	druppel rechts Bovenin 
A: 	ja 
A: 	ja 
A: 	het zijn de enig met dat gek plateautje waar die op staan 
A: 	ja 
A: 	oké dat zijn nummer acht 
B: 	ja ja ja en één zo'n fliebel aan de bovenkant 
B: 	ja ja 
B: 	ja dat zijn C 
A: 	ja dit zijn die enig die op dat gek plateautje staan waar die op lijken of die ingegoten zijn met rechts bovenin zo'n druppel 
A: 	met een rond plateaut nog aan de achterkant 
A: 	ja 
B: 	oké ik hebben die waar we zo lang over meedoen met die afgeron balk en één zo'n fliebel en een rond 
A: 	ja met een staafje nog link 
A: 	nummer zeven bij mij zitten die helemaal link onderin 
B: 	ja met die afgeron ding 
B: 	ja 
B: 	dat zijn C 
A: 	ja dit zijn die een met het raar plateautje waar die op ingegoten staat met met het druppel rechtsboven 
A: 	en link steken er nog wat uit 
A: 	en een rond plateaut aan de achterkant 
B: 	nice 
B: 	Hallo 
