A: 	ik hebben die een met die groot pijl links aan de linkerkant dus hij hebben aan de linkerkant een uitsteeksel en daar staan een soort pilaar op nog 
A: 	die aan de bovenkant steeds breder worden 
A: 	ja 
A: 	ja 
A: 	dertien 
A: 	ik hebben de een dat het hoog zijn van alles 
A: 	die pijl 
A: 	heel opvallen 
A: 	ja 
A: 	dertien 
B: 	ja en zo'n heel groot ding links naar boven 
B: 	zoiets 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	dat zijn H 
A: 	ik hebben die een dat het hoog zijn van alles die links pijl aan de bovenkant 
B: 	ja dit zijn die met dat dienblad wat jij zeggen 
B: 	rechts dat dienblad en link die spijker 
B: 	ja 
A: 	het hoog ding zeggen maar 
A: 	elf 
B: 	ja dat zijn N 
B: 	dit zijn het dienblad aan de rechterkant 
B: 	en een spijker links 
B: 	J 
B: 	dit zijn dat dienblad en een spijker links 
