B: 	deze hebben eigenlijk ook zo'n soort neus één staaf steken er boven uit en één 
B: 	diamant met dan nog een soort vorm er aan zeggen maar net zoals met die neuspiercing zo'n bol aan de zijkant 
B: 	ja en iets dat aan de zijkant dan nog er uit steken ja 
A: 	driehoekig ja 
A: 	dat zijn bij mij nummer veertien 
B: 	ik zitten hem even te zoeken hoor 
B: 	ja die twee ding bovenop hebben en nog één aan de zijkant dat zijn dan N 
A: 	ik hebben er nu één met zo'n bolle ervoor 
A: 	en even kijken jij noemen het het bowlingpin of zo daar aan de zijkant en één erboven en zo'n driehoekig ding naar buiten 
B: 	ja dit zijn weer niet die neus met de neuspiercing maar die neus waarbij die soort ruit met nog een dinge er aan en 
B: 	ja dat balkje en nog één aan de zijkant 
A: 	ah ja 
A: 	ja 
A: 	dat zijn bij mij nummer negen 
B: 	ja 
B: 	ja dat zijn dan G 
B: 	dit zijn die ander niet die neuspiercing maar die ander met die neus en dan die kegel en die ding er nog bij 
B: 	ja 
B: 	kegel ja ja 
B: 	dat zijn dan J 
A: 	ik hebben die een met dat bollet zeggen maar aan de voorkant en bowlingpin zeggen maar en dat driehoekje aan de zijkant of hij staan bij mij ongeveer in het midden 
A: 	ja 
A: 	nummer vijf zijn dat bij mij 
A: 	kijken ik hebben nu die een met dat bolle ervoor 
A: 	en dat die bowling staafje zeggen maar 
A: 	en één ervoor en dat driehoekig ding aan de zijkant 
