A: 	ik ja het goed kunnen je hem een beetje misschien wel met een een zo'n ouderwets adopter of lader of stekker of als je naar Engeland of iets toe gaan zeggen maar zo'n stekker 
B: 	ja 
B: 	ja dan 
A: 	of één en hij lijken ook wel een beetje op een fietsenlamp een heel klein beetje 
B: 	ja 
B: 	zitten zo'n dinge nog bovenop 
A: 	er zitten nog zo'n dinge bovenop en dat zakken dan af 
B: 	ja 
B: 	oké 
B: 	dat zijn B 
B: 	ja volgens mij zijn dit ja die adapter met die dat istek in ieder geval 
B: 	hij 
A: 	ja die adapter hebben we twee adapter of één 
A: 	in ieder geval die adapter met die een beetje dan zo afloopt 
B: 	ja er zitten eigenlijk een soort half piramide op met waar de bovenkant zijn af ja ja 
A: 	ja precies waar de kop eraf zijn zijn afbrokkelen ja 
A: 	twee 
A: 	dat zijn die oud adapter 
B: 	ja 
B: 	M 
B: 	ja dit zijn die adapter 
A: 	ja 
A: 	negen 
A: 	de oud adapter 
B: 	ja dat zijn F 
B: 	dit zijn de adapter 
A: 	ja 
A: 	zes 
