Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	ja dat zijn voor mij	8	B	32, 39
2	4	dit zijn de kat	5	B	36, 40
3	3	ja dat zijn	29	B	11, 32, 39
2	3	met die ruit	14	B	9, 22
3	2	de kat	16	B	25, 36, 40
3	2	dit zijn	20	B	21, 36, 40
2	2	en dan	16	B	9, 24
2	2	en zo'n	2	B	9, 10
2	2	ok nou	18	B	9, 26
2	2	zijn dan	15	B	11, 25
2	2	zijn dat	16	B	8, 23
6	1	dat	32	B	8, 11, 23, 24, 32, 39
6	1	kat	33	B	8, 23, 25, 36, 38, 40
5	1	dan	17	B	9, 11, 22, 24, 25
5	1	de	17	B	24, 25, 36, 37, 40
5	1	ja	34	B	6, 7, 11, 32, 39
5	1	ok	23	B	9, 11, 21, 26, 31
4	1	die	17	B	9, 22, 23, 25
4	1	en	17	B	8, 9, 10, 24
4	1	nou	28	B	9, 24, 26, 36
3	1	met	29	B	9, 22, 37
3	1	nog	16	B	9, 22, 24
3	1	ruit	29	B	9, 22, 37
3	1	zitten	15	B	10, 22, 24
3	1	zo'n	16	B	9, 10, 24
2	1	aan	3	B	22, 24
2	1	een	2	B	8, 9
2	1	hebben	14	B	9, 22
2	1	het	16	B	9, 24
2	1	ik	16	B	9, 24
2	1	je	14	B	9, 22
2	1	onderaan	16	B	9, 24
2	1	ook	3	B	22, 24

