B: 	ok deze hebben zeggen maar aan de onderkant zo'n groot schroef erin en dan daaronder zitten een driehoekje en daarboven zitten zeggen maar dat object en dan twee vierkant 
A: 	ah 
A: 	ja 
A: 	ja 
A: 	oké dat zijn vier 
B: 	ja dat zijn A 
A: 	oké dit zijn wat ik de tulp noemen 
A: 	dus ja met die verdraaien steel en op zo'n soort driehoekje waar die dan op staat 
A: 	ja maken niet uit 
B: 	ok ja dit zijn met die schroef onderaan op dat driehoekje 
B: 	ja 
B: 	ja dat zijn L 
A: 	yes 
A: 	dat zijn tien 
B: 	dit zijn met die schroef aan de onderkant op zo'n driehoek 
B: 	ja dat zijn F 
A: 	dit zijn de tulp 
A: 	oké dat zijn vier 
A: 	dit zijn de tulp 
