A: 	deze zijn heel gek 
A: 	van link lijken het op een hondenkoek en dan daar bovenop staan een trompet 
A: 	ja 
A: 	en link hebben hij zo zo'n twee twee rond uitsteeksel en daarboven zitten gewoon zo'n lang toeter trompet 
A: 	trompet 
A: 	vijfteen 
A: 	ja kunnen ook 
B: 	ja ik zien hem dat zijn o bij mij 
A: 	ja ja brok met schoorsteen 
B: 	deze hebben dat dienblad vast en links een gek vorm arm met een uitsteeksel omhoog 
B: 	link 
B: 	ja 
A: 	dertien 
A: 	de schoorsteen 
A: 	aan de linkerkant 
A: 	trompet 
A: 	toeter 
B: 	even kijken waar die staan horen 
B: 	ja dat zijn b 
A: 	zeven 
B: 	dit zijn die het dienblad vasthouden en de toeter 
B: 	ja even zoeken hoor 
B: 	ja m 
B: 	dit zijn die met het dienblad en de 
B: 	toeter 
B: 	ik willen zeggen schijnwerper 
