B: 	deze hebben aan zijn linkerkant een driehoekig oor en aan de voorkant hebben hij een dik rond neusje 
B: 	en aan de bovenkant hebben hij twee object één zien eruit als een rechthoek en de ander zien er een beetje uit als een ja wat zullen ik zeggen tolle 
A: 	en ook een soort bolletje rechts 
B: 	ja een soort van neusje aan de rechterkant ja 
A: 	ja 
A: 	ja ja ja ja dat zijn zes nummer zes 
A: 	deze hebben het bolle aan de rechts in het midden van het beker 
A: 	link in het midden zitten nog een stok 
A: 	dan hebben je inderdaad ook nog een stok aan de bovenkant of een balk en een soort van ja kegel wat je net ook noemen 
B: 	ja 
B: 	ja 
B: 	dat zijn e 
B: 	dit zijn lastig te omschrijven 
B: 	dit zijn een kop met een ronde bol neus 
B: 	met aan de bovenkant een soort van ja kegeltje noemen je het 
A: 	ja 
B: 	en daarnaast een rechthoekig staaf en aan de linkerkant hebben je ook een uitstekend staaf in driehoekge vorm 
A: 	ook nog ja 
A: 	dat zijn nummer vier 
B: 	ja 
A: 	dit zijn het rond zitten rechts in het midden van het beker met het kegel bovenaan balk bovenaan 
A: 	en link zitten ook nog een soort driehoek in 
A: 	dus het rond in het midden rechts 
B: 	een rond in het midden rechts 
A: 	kegel aan de bovenkant 
B: 	zijn ik nou gewoon kippig 
B: 	rond ja je hebben die dat kegel en een staaf aan de bovenkant en dat driehoek 
A: 	ja ja ja ja ja ja 
B: 	ja okee dat zijn e 
B: 	yes dat zijn k 
B: 	en nu moeten ik hem omschrijven toch voor jou 
A: 	ja 
B: 	ja 
B: 	dat zijn kegel aan de bovenkant rechthoekig staaf aan de bovenkant het neus aan de rechterkant en rond neusje 
A: 	ja die we net ook hebben 
B: 	ja 
A: 	drie 
A: 	het weer het rond midden rechts 
A: 	met dat kegel en het bovenaan 
B: 	ja 
B: 	yes dat zijn g 
