B: 	oké 
A: 	deze hebben van mij zijn het cupje en hij oeh ja hij hebben one's 
A: 	ik vinden het een soort één één het zijn één verrekijker zeggen maar dat die naar voren steken 
A: 	dus het zijn zeggen maar blok zo blok blok en dat zijn dan zo groot worden 
B: 	ja die hebben soort van die torent zo 
B: 	ja ja ja ja 
A: 	ja 
B: 	ja 
B: 	en dan hebben die nog zo'n soort antenne erop 
A: 	ja ja één om één omhoog en één naar de zijkant 
B: 	en een vierkantje aan de zijkant 
B: 	ja 
A: 	en dan hebben die een soort slurf aan de achterkant 
B: 	dus je hebben zo die verrekijker met twee van die torent zo toch ? of bedoelen je die een een verrekijker 
A: 	oeh nee 
A: 	nee het zijn één verrekijker het zijn niet de twee verrekijker 
B: 	ja nee dan weten ik ja en dan zo één zo één zo en dan zo nog zo'n slurfarmp aan de achterkant 
A: 	ja 
A: 	ja 
B: 	ja dat zijn voor mij E 
B: 	oké nu hebben ik die met dat een verrekijker en die twee staaf zo 
A: 	ja 
A: 	ik zitten hem even te zoeken de een verrekijker 
A: 	ja oké 
A: 	nummer elf 
A: 	ik hebben de één verrekijker zeggen maar 
B: 	ja 
B: 	dat zijn bij mij 
A: 	met twee staf zo 
B: 	met die staaf zo 
B: 	ja 
A: 	ja 
B: 	staan ik nog op dat kruis ? ja 
B: 	J 
A: 	ja 
B: 	oké nu hebben ik met die een verrekijker en die twee ja ronde uitsteeksel 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	sorry de 
B: 	ik zitten gewoon te kijken welk we nog niet hebben hebben 
A: 	de één verrekijker 
B: 	ja 
B: 	even kijken waar staan die 
B: 	daar dat zijn bij mij B 
B: 	ik hebben die met één verrekijker en die twee staaf daaruit 
B: 	en met die staart zeggen maar 
A: 	ja 
A: 	staart 
A: 	ik zitten even te kijken waar kunnen ik hem vinden 
