A: 	oké ik noemen deze arm 
A: 	omdat die een soort van knuffel willen geven met twee heel dun arm 
A: 	één één bolle 
A: 	ja 
A: 	ja ja 
A: 	oké dan zijn het d zeven 
B: 	vooraan een lang balk 
B: 	en liggen daarbovenop een bolle 
B: 	ja 
B: 	D 
A: 	mooi zo 
A: 	jou armp of mijn armpjes 
A: 	oké ja 
A: 	K vijftien 
B: 	dit zijn zo'n ding met een lang balk 
B: 	lijken lijken gewoon op een hoog toren zeggen maar en bovenin bovenop liggen een bol op het plaat 
B: 	aan de zijkant van die 
B: 	ja 
A: 	die ik arm noemen met die paal voor het hoofd 
A: 	twee 
A: 	zo 
A: 	als ik hem kunnen vinden 
A: 	M 
A: 	M zes 
B: 	even 
B: 	ja die bol bovenop en dan één toren van het World Trade Center lijken het 
B: 	L 
B: 	met die rond bovenop die bol zeggen maar en dan weer die lang balk aan de voorkant 
B: 	ja 
A: 	je mijn arm 
A: 	balk balk ervoor 
A: 	vijftien 
A: 	A drie 
B: 	ja 
B: 	ja 
B: 	die bol en dan weer die World Trade Center 
