A: 	deze hij hebben een hoofd en twee armp met een staaf 
B: 	ja ja 
B: 	ja 
B: 	dat zijn nummer D 
B: 	deze hebben zo'n paal op de voorgrond met twee van die armp die een beetje zo en dan zo'n bolle 
A: 	ja die die 
A: 	ja 
B: 	ja 
A: 	vijftien 
A: 	het 
B: 	rok 
A: 	nee het ik willen je omarmen 
B: 	met die paal in het 
A: 	ja 
B: 	L 
B: 	deze zijn die met die omarmen 
A: 	zijn zes 
A: 	dit zijn de hug me 
B: 	omarm me 
B: 	J 
B: 	dit zijn die met die twee armp 
A: 	met die die wokkel 
B: 	zo 
B: 	nee die die 
A: 	die 
A: 	ja 
A: 	drie 
