A: 	een balk 
A: 	een balk aan de bovenkant 
A: 	en hebben die aan de rechterkant hebben die zo'n uitsteekselt en daar staan nog een dinge bovenop 
A: 	zo'n cilindert erbovenop 
A: 	oké ja dan zijn het acht 
B: 	deze hebben een vierkant staaf bovenop liggen 
B: 	plat 
B: 	en aan de linkerkant steken een soort lampenkap uit 
B: 	en aan de rechterkant ja ook nog iets met een staafje en een soort driehoekje of zo 
A: 	deze hebben een soort balk bovenop 
A: 	en dan een 
A: 	drie prisma aan de zijkant ja 
A: 	oké 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	ja wachten waar zijn die ? ja dat zijn bij mij één 
A: 	dit zijn met die balk bovenop en die die prisma 
B: 	deze hebben een horizontaal vierkant aan de bovenkant 
B: 	of ja een rechthoek eigenlijk 
B: 	en dan de lampenkap en 
B: 	ja 
A: 	de bal en de prisma 
A: 	balk ja ja 
A: 	ja hebben ik 
A: 	dat zijn nummer zestien 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	dit zijn met die balk bovenop en de prisma 
B: 	dit zijn met dat plat rechthoek bovenop en die lampenkap 
B: 	ja even zoeken 
B: 	ja 
B: 	dat zijn bij mij O 
