A: 	dit zijn vinden ik het veel ingewikkeld plaat om te omschrijven maar ik gaan mijn best doen 
A: 	boven op het kop staan een een soort piramide met een spits punt 
A: 	en dan aan de linkerkant zijn een uitsteeksel een beetje in de vorm van een soort oordopje met een vast 
B: 	ja 
B: 	ik weten al welk het zijn het zijn J 
A: 	oké 
B: 	een soort tovenaar vinden ik het 
B: 	oké dit zijn de tovenaar zeggen maar met de kroon en dan heel misvormd neus en zo'n raar dinge aan de linkerkant 
A: 	ja 
A: 	nummer zes 
A: 	dit zijn de tovenaar 
A: 	met zijn gek neus 
B: 	E 
B: 	de tovenaar 
B: 	met de misvormd neus en het hoed 
A: 	tien 
A: 	dit zijn de tovenaar 
B: 	dat zijn G 
B: 	dit zijn de tovenaar 
A: 	tien 
