B: 	oké deze ja deze vinden ik ook best wel lastig 
B: 	dat zijn je hebben weer dat kop zeggen maar dan hebben die zo'n soort rond neus daarop 
B: 	en dan hebben die twee van die staaf erin 
B: 	één zo'n soort rechthoekig lineaalt 
B: 	ja volgens mij wel 
B: 	één zo'n lineaal en één zo'n soort puntig kristaldinge 
A: 	ei neus o dat zijn gewoon die indiaan zonder piercing 
B: 	ja 
A: 	ok 
B: 	ja ja 
B: 	zo'n tui 
A: 	jajaja 
A: 	dan weten ik het al 
A: 	ja 
A: 	jaja met dat met zo'n uitsteeksel bij zijn oor en dan nog jaja ok ok ja veertien 
A: 	ok die indiaan zonder neuspiercing 
A: 	ja jaja 
B: 	ja 
B: 	en dat ander dinge 
B: 	ja 
B: 	dat zijn bij mij N 
A: 	hij ik zien hem 
A: 	ja 
A: 	o negen negen je sorry 
A: 	ik zeggen 
B: 	oké nu hebben ik dat kop met dat met die lineaal en die penseel erin 
B: 	en dat bolle erop zeggen maar 
B: 	dus met die twee staafjes erin 
A: 	ok 
A: 	indiaan zonder piercing 
A: 	met vulpen of zo en dat ding 
A: 	dat moeten jij doen o 
A: 	ok vulpen indiaan vijf 
B: 	ja 
B: 	ja bij mij ook 
B: 	dat zijn G 
B: 	nu hebben ik dat kop met die lineaal en dat penseel erin 
A: 	dus moeten ik doen duwen 
A: 	indiaan zonder piercing 
B: 	ja dat zijn J 
