B: 	deze hebben een een spijker op de kop 
B: 	en een vierkant plaat aan de voorkant 
B: 	en twee blok aan de zijkant die steeds groot worden 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	een ja soort spion hebben ik ervan maken 
A: 	dat die aan het bellen zijn dat zijn bij mij nummer twee 
B: 	oké 
B: 	ja dat zijn voor mij G 
B: 	even kijken deze hebben dat anetenne aan de bovenkant en het vierkant vlak aan de voorkant en de groot worden blok aan de linkerkant 
A: 	dit zijn eigenlijk die spion weer dus met die twee trap toelopen 
A: 	blok tentakel omhoog en een vlak aan de zijkant 
A: 	Blok ja 
A: 	dat zijn nummer negen 
B: 	ja 
B: 	dat zijn d voor mij 
A: 	dit zijn de spion 
B: 	dit zijn met de Antenne het vierkant plaa en de twee wat groot groot worden vierkant 
A: 	de spion die staan ja nummer één 
B: 	ja 
B: 	G 
A: 	dit zijn de spion 
