A: 	dan zijn het niet gelijk 
A: 	ja dit zijn de mok die aan de linkerkant een een hengsel hebben waarbij het een soort van lijken alsof er een tentharing in steken 
A: 	vinden ik 
A: 	dat zijn een soort van pin met een vierkant 
A: 	ja 
A: 	oké 
B: 	en hebben hij een soort vergrootglas 
B: 	o of o jaja inderdaad best wel echt perfect rond 
B: 	een soort pacman vormig balk en dan met een spijker er uit ok ja L 
B: 	soort pacman arm met de spijker er in en een plateaut vergrootglas 
B: 	ja 
A: 	zijn dat mijn tentharing 
A: 	ja 
A: 	ja dat zijn nummer zeven hier 
B: 	o ja ja en het ja het vergrootglas wat er ja oke C 
A: 	en dit zijn de mok met de tentharing 
B: 	pacman 
B: 	met de armpiercing of pacman met de spijker er doorheen 
B: 	sorry ik nee sorry 
B: 	pacman met de spijker er doorheen en de plateau 
A: 	ah ja dat zijn nummer één 
B: 	A 
A: 	gelijk 
A: 	dit zijn de mok met de tentharing 
B: 	dan pacman 
A: 	welk zeggen je met de 
A: 	de ja 
A: 	ja nummer dertien 
