B: 	deze hebben een soort van antenne 
B: 	in de vorm van een één bel 
B: 	en aan de voorkant zitten een groot wat groot vierkant vlak 
A: 	ja en aan de zijkant die twee ding 
B: 	ja precies van die klep 
A: 	ja 
A: 	dat zijn twee 
B: 	okee 
A: 	deze hebben een vierkant aan de voorkant 
A: 	met zo'n met die paddestoel bovenop zeggen maar 
B: 	ah ja ja ja ja 
A: 	of dat noemen je een bel toch 
B: 	ja ja 
B: 	ja dat zijn m 
A: 	ja 
B: 	deze zijn met die antenne 
B: 	en dat vierkant blok op de op de voorkant 
A: 	aan de voorkant ja 
A: 	dat zijn zestien 
A: 	dit zijn met het vierkant aan de voorkant en die paddestoel erbovenop 
B: 	ja c 
B: 	dit zijn de de mushroom 
A: 	ja met die twee aflopen ding daar aan de zijkant 
B: 	ja 
B: 	ja 
A: 	dertien 
B: 	ja 
A: 	met die paddestoel bovenop 
A: 	en dat vierkant aan de voorkant 
B: 	ja 
B: 	j 
