B: 	deze die zijn op zich wel lastig uit te aanleggen denken ik 
B: 	maar een koffiekopje met een soort van afzuigkapneus aan de linkerkant 
B: 	bovenop zitten er een rechthoek 
B: 	ja het zijn geen vierkant object een rechthoek bovenin 
B: 	en aan de rechterkant van het kop nou heel even goed kijken hoor want dat zijn ja een soort 
B: 	wat zullen het zijn 
A: 	een rond plateau een dienblad 
A: 	niet 
B: 	nee het zijn niet niet diegene met het dienblad 
A: 	ah 
B: 	want ik weten wel welk je dan bedoelen 
A: 	het zijn dus een ander 
B: 	ja het zijn een ander 
B: 	even denken 
B: 	hoe gaan ik dit goed uitleggen 
A: 	wachten één afzuigkap aan de linkerkant wat voor vorm 
B: 	ja het zijn een hij komen veel in de buurt van een neus zoals wij die normaal zullen hebben zeggen maar 
B: 	het zijn veel een mensenneus dan de neus die we tot zover hebben hebben 
A: 	ah okee 
B: 	dus het zijn een beetje een soort van ja 
B: 	ja het zijn het zijn heel deze vinden ik best wel pittig 
A: 	ah 
A: 	met dat rechthoek die er horizontaal bovenop liggen die dat 
B: 	ja precies 
A: 	ah die en dan één of ander gek staaf met een soort van 
B: 	ja 
B: 	een staaf met een soort van afvoerdingetje 
A: 	soort van veger en blik en dan dat blik zo zo'n die zo'n staan 
B: 	ja precies ja ja dat ja 
A: 	daar lijken die op 
A: 	ah dan weten ik welk 
A: 	okee nummer vijf 
A: 	dit zijn dat een figuur waarvan we niet weten wat er rechts zitten 
A: 	en dat we dat maar als veger en blik en dan dat blik hebben doen 
B: 	ja ja 
A: 	ja 
B: 	staan daar een rechthoekig ding bovenop 
A: 	ja die liggen horizontaal erop en link één of ander kap 
A: 	ja 
B: 	een kap 
A: 	kap ja 
B: 	ja dan gaan ik voor h 
B: 	o Jee hier hebben we hem weer hoor de stoffer en blik 
B: 	het stoffer en blik kop met een rechthoekig object bovenin 
A: 	ah 
A: 	waar zijn je 
B: 	en een afkapdinge aan de linkerkant 
A: 	ja ik zijn hem ah ja 
B: 	dat zijn even zoeken hè ? ja 
A: 	ja inderdaad 
B: 	maar ik merken wel dat je op een geven moment dan hebben je die cue een beetje te pakken zo van ja dit hebben we zo communiceren 
A: 	uhu 
A: 	ja kloppen 
A: 	ja nummer vijfteen 
B: 	ja leuk 
A: 	dit zijn dat een gek figuur weer 
A: 	balk aan de bovenkant horizontaal het blik van veger en blik en afzuigkap link 
B: 	ja even kijken waar zijn je waar zijn je 
B: 	ik merken dat mijn aandacht zeggen maar nu echt naar het zoeken gaan 
A: 	ja kloppen 
B: 	het zijn dit zijn c 
A: 	je weten welk het zijn 
B: 	dit zijn de stoffer en blik met een rechthoekig figuurt bovenop weer 
B: 	neus 
A: 	waar zijn hij 
A: 	ah ja 
B: 	where did it go ja 
A: 	nummer vijfteen 
A: 	ons stoffer en blik rechthoek horizontaal op de bovenkant en afzuigkap link 
B: 	dat zijn c 
