A: 	rood 
B: 	oké dit dit zijn het voet met spiraal 
A: 	ja 
B: 	ja 
A: 	en dan met een driehoek onderaan 
B: 	ja driehoek onderaan en een vierkant bovenop ja 
A: 	oké 
A: 	oké welk zijn die 
B: 	C 
A: 	C vier 
A: 	omdraaien 
A: 	met het draaien draaien been voet 
B: 	de de de spiraal 
A: 	de spiraal ja 
B: 	ja 
A: 	acht 
B: 	A achten 
B: 	dit zijn een spiraal op het driehoekig voe 
A: 	ja 
B: 	en dan zo omhoog 
B: 	ja K bij mij 
A: 	K tien 
A: 	draaien voet 
B: 	even kijken 
A: 	twee 
B: 	L twee 
A: 	yes 
B: 	de spiraal met het voe 
A: 	ja 
B: 	E 
A: 	E vier 
A: 	spiraalvoet 
B: 	F 
A: 	twee 
B: 	F twee 
