A: 	ik hebben aan de bovenkant net als jij een pyramide die aan de bovenkant zijn afsnijden 
A: 	en aan de rechterkant twee dezelfde blok 
B: 	ja ik zien hem 
B: 	k 
B: 	okee deze hebben twee twee gelijkwaardig langwerpig hoek rechthoeak aan de rechterkant 
B: 	of hoe heten dat 
B: 	en een soort van pyramide bovenop maar dat kop eraf 
A: 	ja en soort neus aan de linkerkant 
B: 	ja ja 
A: 	zestien 
A: 	ik hebben die een met die met die neus 
B: 	met die neus 
A: 	met de pyramide aan met de bovenkant afgeschaafd 
B: 	ja waar zitten die 
A: 	en twee gelijkwaardig ding aan de rechterkant 
B: 	waar zitten die waar zitten die ah daar ja 
B: 	g 
B: 	ik hebben die die pyamide met top eraf aan de bovenkant en dan die twee twin towers aan de rechterkant 
A: 	ja 
A: 	tien 
A: 	ik hebben de half pyramide bovenop en de twin towers aan de rechterkant 
B: 	ja 
B: 	j 
A: 	met de met de neus zegmaar 
B: 	ja met de neus 
B: 	de twin towers aan de rechterkant en de pyramide met het kop eraf aan de bovenkant 
B: 	en de neus links 
A: 	yes dertien 
