Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	een kop met een	15	B	16, 30
2	3	en een ei	8	B	16, 23
2	3	met een zuignap	8	B	16, 23
3	2	een zuignap	15	B	16, 23, 30
3	2	en een	15	B	16, 23, 30
2	2	de propeller	5	B	2, 6
2	2	ik het	4	B	13, 16
7	1	ja	24	B	4, 8, 9, 11, 13, 17, 27
5	1	ei	15	B	16, 17, 23, 28, 30
5	1	en	25	B	6, 16, 17, 23, 30
4	1	een	15	B	16, 17, 23, 30
4	1	zijn	16	B	15, 22, 24, 30
4	1	zuignap	15	B	16, 17, 23, 30
3	1	dan	10	B	13, 15, 22
3	1	de	29	B	2, 6, 30
3	1	het	4	B	13, 15, 16
2	1	dat	6	B	17, 22
2	1	die	7	B	24, 30
2	1	oké	10	B	13, 22
2	1	waar	23	B	2, 24

