B: 	oké dit zijn ja er staan twee ding bovenop 
B: 	één zijn een beetje dat zijn gewoon een rechthoek 
B: 	en de ander zijn een beetje ja een handvat zeggen maar 
B: 	en aan de zijkant één hebben zo'n dik bol 
B: 	en aan de ander kant zijn een soort driehoek 
B: 	ja die staan dan zeggen maar in een kwart van elkaar 
B: 	en er staan ver niks 
B: 	ja 
B: 	ja 
B: 	staan één rechthoek en één soort ja wat zullen het zijn ? handvat cilinderachtig 
B: 	en dan aan de zijkant aan de een zijkant ja dan zijn dat volgens mij link staan zijn een handvat van een driehoek 
A: 	ja 
A: 	ja 
B: 	en aan de ander ja en een kwartslag ver zijn zeggen maar een rond ding ja we kunnen het zien als een neus maar ik weten niet 
A: 	dat zijn nummer veertien 
B: 	ja ja 
B: 	ja ja 
B: 	ja 
A: 	dit zijn er één waar twee uitsteeksel bovenin staan één balk en één zo'n raar figuur 
B: 	ja 
B: 	en aan de zijkant ook nog 
B: 	dat zijn N 
A: 	neerkomen er aan de linkerkant een armpje uit en aan de voorkant zitten een ei 
A: 	ja 
A: 	ja en dan daarnaast staan een recht balkje 
B: 	ja wat zijn deze ? dat zijn die neus met die twee ding erbovenop 
B: 	niet dat niet die neuspiercing maar die ander 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	even kijken denken dat ik hem hebben maar dan er zitten geen driehoekje die eruit steken 
A: 	er zitten een ei aan de voorkant 
A: 	er lopen een balk door dat ei heen 
A: 	oké dan zijn het een ander even kijken ei 
A: 	ja 
A: 	alleen zitten twee figuurt die daarbovenuit steken 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	ja 
B: 	ja dat zijn G 
B: 	dit zijn de gewoon neus 
B: 	de gewoon neus 
B: 	met die twee uitsteeksel 
B: 	ja ja 
B: 	dat zijn best wel 
B: 	ja 
B: 	dat zullen echt gemeen 
A: 	deze zijn met dat ei wat ervoor zweeft en met dat lineaal wat eruit komen en dat ander raar figuur en dan nog zo'n balkje er zo 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	ah ja 
B: 	dat zijn J 
A: 	deze zijn met dat ei aan de voorkant lineaal Erbovenin en nog zo'n ander raar ding Erbovenin en zo'n armpje aan de links kant 
A: 	ja 
