B: 	ja dit weten ik niet echt helemaal een goed naam voor te aangeven maar je hebben dat rond dinge en dan zitten er gewoon eigenlijk een rechthoek zitten er gewoon op 
B: 	en aan de linkerkant iets zitten een rond wat een beetje uitlopen en aan de rechterkant zitten ook nog iets waar een staaf weer op staat 
B: 	het zijn zeggen maar wat een beetje een heel recht gezicht of zo waarmee ik het een beetje kunnen vergelijken 
A: 	ik zien hem niet nog niet 
B: 	tenmiste zitten echt zo'n zo'n zo'n rechthoek zitten echt erop op op het er op ja 
A: 	er op 
A: 	o ja misschien weten ik en dan hebben hij zeggen maar zo een ding en daar zitten weer zoiets op 
B: 	ja ja die ja 
A: 	en dan aan de zijkant een soort van vleugelt of zo 
B: 	o wachten 
A: 	of oor 
B: 	even kijken hoor ja ik hebben ik zien ik hebben maar één oor dan zeggen maar 
A: 	o ja ik gaan er gewoon vanuit in mijn imagination dat hij aan de ander kant ook wat hebben 
B: 	o wachten o ja zijn het denken ik wel hetzelfde 
A: 	ja ik denken het ook bij mij zijn dat acht 
B: 	ok bij mij N 
A: 	ok 
A: 	dit zijn dat gezicht beetje niets zeggen gezicht 
B: 	o die met dat dinge er 
A: 	met die oor ja en dat dinge 
B: 	o wachten 
A: 	o 
B: 	o welk oor o die oor wachten 
A: 	waarvan ik ervan uitging dat hij aan de ander kant ook een oor hebben of een vleugel 
B: 	even kijken waar die staan waar staan hij nou o hier ja dat zijn E bij mij 
A: 	ok bij mij één 
B: 	ok 
B: 	o ja o dat zijn die een met die twee oor en dat gezicht een beetje 
A: 	ja 
B: 	beetje zo schuin omlaag met dat vierkantje er boven 
A: 	ja en die ding uit zijn neus 
B: 	ja ja 
A: 	ja bij mij zijn dat één 
B: 	ja bij mij O 
A: 	dit zijn dat gezicht met die twee oor 
B: 	waar zijn hij 
A: 	die eigenlijk geen twee oor hebben 
B: 	ja ik snapen wel welk je bedoelen E zijn dat bij mij 
A: 	ja bij mij vier 
B: 	ok 
B: 	o dit zijn weer die een met die twee oor en dat staaf zo en dan op het hoofd 
A: 	o 
A: 	ja 
A: 	ja zestien bij mij 
B: 	ok bij mij C 
A: 	dit zijn de man met de twee oor 
B: 	m m o hier O 
B: 	even klikken 
