B: 	dan kloppen nou 
B: 	dit zijn een kop weer 
B: 	en er zitten een een vierkantje omheen hebben je het kop en dan zitten het vierkantje eromheen er staan twee klein cilindertjes op 
B: 	een soort van Lvormig uitsteeksel 
A: 	ja 
B: 	en een ja nog een cilindervormig uitsteeksel 
A: 	ja oké dan zijn dat nummer zes voor mij 
B: 	nice 
A: 	oké deze hebben twee heel klein cilindert bovenaan staan 
A: 	en één en een vierkant zeggen maar horizontaal dwars door het kop heen 
A: 	en inderdaad aan de linkerkant zitten een zitten een Lvormig ding 
B: 	ja 
B: 	C 
A: 	yes 
A: 	oké 
B: 	nou dit zijn weer het kop met het Lvormig uitsteeksel en het vierkantje in het midden 
B: 	waar die doorheen gaan die twee cilindervormig uitsteekseltjes 
B: 	die 
A: 	even kijken 
A: 	en die de dat vierkant wat er dwars doorheen gaan zeggen maar 
B: 	ja die ja 
B: 	ja 
A: 	dat zijn dertien 
A: 	oké dit zijn die een met de Lvormig ding aan de zijkant en de en het vierkant er dwars doorheen 
A: 	en die twee cilindert erbovenop 
B: 	oké ja dat zijn J 
A: 	oké 
B: 	het zijn weer die een met het ja met het vierkantje in het midden 
B: 	die die ja die twee cilindert erop en het Lvormig uitsteeksel link 
A: 	yes dat zijn negen 
A: 	oké dit zijn de Lvormig linkerkant met de met de vierkant erdoorheen 
B: 	Lvormig 
B: 	ja 
B: 	dat zijn N 
