A: 	dan hebben ik een koffiebeker met drie uitsteeksel aan de zijkant en een wat bredere 
A: 	lepel die erin hangen of bijna rechtop staan 
A: 	en van de uithangsel zijn er één die een vierkant blok die steeds groot worden 
A: 	een even groot dikte koffielepel veel schuin aan de voorkant 
A: 	en veel aan de achterkant nog een soort olifantenslurf 
B: 	ja 
B: 	en als je al uitsteeksel eraf halen dan lijken het een beetje op een wcontstopper 
B: 	of in ieder geval zo'n schoonmaakding 
A: 	dat zullen je er ook nog van kunnen maken ja 
B: 	ja dat zijn letter D E excuus 
B: 	letter E 
B: 	goed het zijn het koffiekopje met vier uitsteeksel eraan 
B: 	twee daarvan zijn een soort handvat of een stuk van een pollepel 
B: 	de ander zijn een een smal stuk wat beginnen en dan eindigen het in een een soort vierkant 
B: 	en aan de dat zijn aan de rechterkant 
B: 	aan de bovenkant en aan de linkerkant zitten dus een soort begin van een spatel of een penseel 
B: 	en daarachter zitten dan nog een een een boog of een slurf je ja 
A: 	slurfachtig 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	dan hebben we de slurf de koffiekopje met de slurf wat veel aan de achterkant aan de zijkant eruit steken 
B: 	ja waar zijn die ook weer 
A: 	één robotarm een beetje rechts aan de voorkant 
A: 	en twee wat dikkere lepel aan de bovenkant en zijkant 
B: 	ja 
B: 	ja 
B: 	dat zijn letter J 
B: 	ja dat koffiekopje met een een raar blok aan de voorkant wat bred uitlopen 
B: 	twee penseel handvat 
B: 	één aan de bovenkant één aan de zijkant 
B: 	en nog een slurf je ja 
A: 	en een slurf 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer negen 
A: 	lijken ook gewoon robotarmen 
B: 	ja dat zijn ook een robotarm laten we het daarop houden 
A: 	de slurf 
A: 	met robotarm 
A: 	en twee lepel zijkant boven 
B: 	ja ja ja ja ja slurf en twee arm 
B: 	ja robotarm ja ja ja letter B 
A: 	de slurf aan de achterkant 
A: 	ja 
B: 	het koffiekopje met één robotarm twee penseeluitsteeksel en een slurf 
A: 	ja 
A: 	nummer vier 
