B: 	ja deze zijn een beetje compact 
B: 	aan de bovenkant hebben hij een gewoon rechthoekig staaf horizontaal 
A: 	ja 
B: 	en links ja een figuur die ik beetje ja zijn een beetje rond maar 
A: 	ja 
B: 	geen bal en rechts zitten ook iets maar dat zijn ook een soort goo 
A: 	nee 
A: 	ja 
A: 	precies dat zijn ook een soort goo 
A: 	en in dat gootje lijken nog zo'n rond 
B: 	ja 
B: 	rechtop 
A: 	ja 
B: 	ja 
A: 	cilindertje 
A: 	acht 
A: 	deze hebben een soort gootje aan de voorkant 
A: 	een beetje naar de rechts keren , of een beetje naar rechts draaien 
A: 	en op dat gootje staan één ja een 
B: 	stok 
A: 	een houten stok ja 
B: 	en een staaf bovenop horizontaal 
A: 	ja 
A: 	en aan de linkerkant een soort rondvormig vleugelachtig ik weten niet 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn weer een beetje die compact , dat er rechts een goo zijn , en link zo'n uh , ja , rond iets achtig , bovenop een horizontaal staaf 
A: 	ja nummer dertien 
A: 	dit zijn met dat gootje aan de rechter voorkant met het staaf in het goo 
B: 	ja 
B: 	staaf bovenop 
A: 	ja 
B: 	ja 
B: 	E 
B: 	dit zijn die compact staaf , horizontaal bovenop , goo rechts waar een pijp bovenop staan 
A: 	ja 
A: 	ja ja ja ja 
A: 	nummer dertien 
A: 	deze hebben een gootje met het met het rechtstaand staaf en bovenkant dat langwerpig vierkantje 
B: 	ja M 
