A: 	oei dit vinden ik een lastig 
A: 	one er steken één ding omhoog en die beginnen smal en die worden steeds bred en dan zijn die weer smal 
A: 	en er steken drie ding eruit aan de zijkant 
A: 	waaronder één zo'n vierkant blok 
A: 	hetzelfde als wat boven zeggen maar dat ding 
A: 	en achter nog zo'n een een krulle 
B: 	ja 
A: 	en het zijn een pot hij staan op niks of zo zeggen maar 
B: 	ja 
B: 	het zijn maar zeggen maar dat ding dat aan één kant uitsteken en dat daarboven zijn hetzelfde zeker 
A: 	wat naar boven eruit steken en de een kant aan de zijkant zijn hetzelfde 
B: 	ja 
A: 	en dan hebben je nog twee ander dinge ernaast 
B: 	ja ja 
B: 	oké 
B: 	dat zijn E 
B: 	ja deze zijn met die ja met dat een ding bovenop dat ook aan de zijkant zitten zeggen maar 
A: 	even denken hoor bovenop wat dat zijn 
B: 	zeggen maar dat dat eerst dan smal zijn en dan breed worden en dan weer smal worden 
B: 	en diezelfde zitten ook aan de zijkant 
A: 	even denken 
A: 	en nee smal breed 
B: 	en dan aan de ander één van de ander zijkant het zijn net of daar een wolkenkrabber doorheen zijn boord 
A: 	alsof er een wolkenkrabber doorheen zijn 
A: 	ja kloppen 
A: 	en aan de achterkant hebben je nog zo'n zo'n dinge 
B: 	ja ja ja 
A: 	ja 
A: 	elf 
B: 	ja 
A: 	dit zijn die wolkenkrabber die erin zijn boord 
A: 	en boven aan de zijkant hebben je zijn dezelfde wat erin zitten 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja die cactusachtig wolkenkrabber 
A: 	en er zitten achter nog een staart of iets of zo 
A: 	ja kloppen 
B: 	J 
B: 	ja dit zijn die met die één wolkenkrabber zeggen maar 
B: 	en dan met die cactusachtig ding 
A: 	ja ik zitten te kijken 
A: 	ja ik zien hem 
A: 	negen 
A: 	dit zijn de de wolkenkrabber die 
B: 	die 
A: 	erin zijn boord en dan hebben je nog twee zo eruit steken en achter nog een staart of zo 
B: 	ja 
B: 	ja 
B: 	B 
B: 	met die een wolkenkrabber 
A: 	even kijken waar staan je 
A: 	in die arm toch 
B: 	ja 
A: 	ja 
A: 	dertien 
