A: 	dit zijn diegene die Linksboven een soort vierkantje hebben 
A: 	alsof die vastgeplakt zitten aan dat ander ding en dan komen er een soort wokkel en aan de ander kant zitten een plateau 
B: 	ja ik denken dat ik wel weten wat je bedoelen een soort van ouderwets spijker die 
A: 	ja of een naald of wat weten ik veel zonlicht door een raam door vallen maar een raar doekje 
B: 	ja 
B: 	ja of een naald 
B: 	ja ja ja in ieder geval ja 
B: 	dat zijn dan voor mij de letter L 
B: 	dit zijn het plaat met het 
B: 	kop met het rond schotel aan de zijkant die uitsteken en die ouderwets spijker die van boven naar beneden komen 
A: 	ja check 
A: 	dat zijn zeven voor mij 
A: 	dit zijn die met de ouderwets spijker aan de zijkant 
B: 	ja 
B: 	dat zijn C voor mij 
B: 	even kijken 
B: 	dit zijn weer die met die met dat tafel die eruit opsteken als het zijn en die ouderwets spijker 
A: 	ja 
A: 	wachten een tafel en een spijker 
B: 	ja die ouderwets spijker waar aan de rechterkant dat rond tafel als het zijn uit opsteken 
A: 	ja die sorry ik denken even dat je een ander bedoelen 
A: 	waar zijn mijn spijker 
A: 	ja dat zijn één voor mij 
A: 	hebben we toen ook dit zijn die met de oud spijker links 
B: 	ja dat zijn A 
B: 	exact hetzelfde plaat maar dan met een groot spijker 
B: 	en het rond plateau wat eruit komen 
A: 	ja 
A: 	dat zijn die de ouderwets spijker bedoelen je toch ? die 
B: 	ja 
A: 	ja dat zijn dertien voor mij 
