A: 	ik hebben nu ja er steken zeggen maar links en rechts een soort van pilaar uit 
A: 	het lijken een beetje op een zoutpo met zo'n bol zeggen maar nog erbovenop op die pilaar een soort van 
B: 	ja 
A: 	en aan de achterkant steken een soort van klep uit en daaruit steken weer een soort van buis 
B: 	ja 
B: 	dat zijn bij mij K 
A: 	oké 
B: 	deze hebben die soort zoutpo aan de zijkant 
B: 	en het kle aan de achterkant met nog iets eraan 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	even kijken dit zijn die een met die zout pott zeggen maar aan de zijkant 
B: 	ja 
A: 	en achteruit die klep met weer dat daaruit weer dat aansteeksel uitsteeksel 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	deze zijn met die zout ding 
B: 	aan de zijkant 
A: 	ja dat zijn nummer drie 
A: 	dit zijn met die zoutding zeggen maar aan de zijkant 
B: 	ja 
B: 	even kijken 
B: 	dat zijn bij mij L 
B: 	met die zoutpo 
A: 	ja dat zijn nummer vijf 
