B: 	ja en een soort van zonnepaneel aan de acht erachter 
B: 	ja dat zijn nummer K 
A: 	oké deze hebben ja zeggen maar aan de 
A: 	rechter en linkerkant onderaan het kop steken zeggen maar twee 
A: 	dik cilinder uit met aan de aan de aan de uiteinde van die cilinder een soort van bol eraan 
A: 	en aan de achterkant ja ik kunnen het niet heel goed zien maar ja aan de achterkant zitten een beetje aan de linkerkant 
A: 	daarachter een soort van vierkant met nog iets ander 
A: 	ja dat vinden ik lastig om te omschrijven maar 
A: 	er zitten geen kegelvorm op het kop 
A: 	nee 
A: 	nee het lijken in ieder geval alsof het er het erachter zitten echt dat vierkant 
A: 	ja of één ja het zijn veel het zijn niet echt een vierkant want het hoe heten dat nou ook weer 
A: 	want hij staan zeggen maar schuin een soort van 
A: 	nee nee dat ook niet 
B: 	dat kop met die twee uitstulpsel en dat soort van zonnepaneel aan de achterkant 
A: 	nee 
A: 	nee en en maar het zijn dus nee die die uitsteeksel 
A: 	die uitsteeksel aan beide kant die zijn denken ik het waar je het het duidelijk aan kunnen herkennen 
A: 	omdat dat volgens mij de enig zijn die zeggen maar aan de linkerkant zijn dat uitsteeksel kort dan aan de rechterkant 
A: 	nee dat nee 
A: 	ik zien ik zien denken ik welk je bedoelen dat zijn hem niet 
A: 	ja het zijn lastig om 
A: 	er staan niks op ja kloppen 
A: 	en ja en die en die uitsteeksel aan de zijkant die zitten een beetje beetje aan de onderkant zeggen maar 
A: 	maar die lijken ook soort van niet uit het kop te komen maar van achter het kop daaruit te steken 
A: 	qua perspectief 
A: 	kunnen je 
A: 	en die die springplank waar ? die zitten dan 
A: 	ja die zitten achter het kop 
A: 	en dan hebben je inderdaad die twee uitsteeksel met boll aan de het uitein 
A: 	oké 
A: 	dat zijn hem 
B: 	ja 
B: 	dat zijn bij mij waar staan die 
B: 	F 
A: 	even kijken 
A: 	ja ja precies ja negen zijn dat 
A: 	negen 
B: 	ik hebben dan met die twee uitstulpsel en de zonnepaneel 
B: 	ja die 
B: 	L 
A: 	oké dit zijn diegene weer met de springplank zeggen maar erachter 
A: 	en die twee uitsteeksel met de bol eraan aan de aan de zijkant 
B: 	ik hebben dat met die ding eruit en dat zonnepaneel 
A: 	ja dat zijn drie 
A: 	oké dit zijn weer de springplank en de 
A: 	ja vijf 
