A: 	yes 
A: 	ja ik weten het 
A: 	een 
B: 	deze hebben een vierkant plateau iets onder het midden 
B: 	denken dat dat al redelijk duidelijk zijn 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja kloppen 
B: 	ja 
A: 	ik hebben soort ja plaat die door het het oppervlak heen gaan 
A: 	aan de bovenkant die twee twin towers waar je het net over hebben 
A: 	die kleint 
A: 	ja 
A: 	vier 
A: 	ik hebben de twin towers met dat plaat er recht doorheen 
A: 	soort 
A: 	nee dat ja die ja een soort glijbaan zijn het 
A: 	ja twee 
B: 	schoorsteen ja 
B: 	ja 
B: 	ja 
B: 	dat zijn M 
A: 	de twin towers met een glijbaan 
B: 	deze hebben zo'n vierkant rondom iets onder het midden zeggen maar 
B: 	ja 
B: 	vierkant 
B: 	ja dat zijn C 
B: 	deze hebben het vierkant iets onder het midden 
B: 	en twee schoorsteen er bovenop 
B: 	ja 
B: 	ja 
