B: 	deze hebben een ei als neus 
B: 	link een arm 
B: 	klein 
B: 	en Linksboven een gek figuur een traan met nog een rond eraan 
A: 	en een vierkant 
B: 	en vierkantje boven 
A: 	ja heel rechthoekig 
B: 	ja rechthoek 
B: 	ja 
A: 	ja dat zijn nummer vijf bij mij 
A: 	ja sorry 
B: 	maken niet uit 
A: 	dit zijn hebben zo'n neus en dan hij het zijn een soort soort vorm van een kegel maar dan veel alsof het een wespenlichaam zijn weten je in twee deel 
A: 	en aan de rechterkant hebben hij een een hoek dat zo uitsteken 
A: 	en dan hebben hij nog een miniarmpje aan de linkerkant 
B: 	okee wachten even kunnen je die nog een keer doen ? die weten ik even niet 
A: 	dat zijn een 
A: 	ja een neus een beetje aan de rechterkant 
A: 	rond 
A: 	zo'n ei 
A: 	dan hebben hij een miniarmpje 
A: 	en dan hebben hij aan deze kant hebben hij zo'n soort kegelvormig iets maar dan veel in wespenvorm 
B: 	ja en in het midden nog een een rechthoek 
A: 	ja en dan nog een rechthoek 
B: 	okee dat zijn l 
B: 	deze hebben een ei als neus aan de rechterkant 
B: 	Linksboven je noemen het geen kegel je noemen het iets wat op een kegel lijken 
A: 	een wespenlichaam 
B: 	ja wespenlichaam 
A: 	en dan zo'n zo'n rechthoek en een klein armp 
B: 	ja zo'n ding recht omhoog 
B: 	ja 
A: 	dat zijn acht 
A: 	deze die hebben een -lichaam en een balk en een neus hier en een raar arm 
B: 	ja dat zijn c 
B: 	dit zijn met de wesp en de het ei als neus rechts 
A: 	ja en een klein raar armp en een balk toch 
B: 	ja 
B: 	ja 
A: 	twaalf 
A: 	dit zijn die een met het wespenlichaam een neus of ja een ei en hier zo'n balk 
B: 	ja dat zijn b 
A: 	en nog een armp 
